SerialNumber,Specification,FlangewidthB,BHComponentWeightStatisticsTable-FlangeThicknessTf,SectionHeightH,WebthicknessTw,Length,Numberofpieces,FlangeTotalWeight,Webtotalweight,TotalWeight,Singlepieceweight
1,BH600*200*6*8,200.0,8.0,600.0,6.0,8766.0,6.0,1321.21152,1446.727,2767.938,461.3230224
2,BH650*250*6*8,250.0,8.0,650.0,6.0,9800.0,5.0,1538.6,1463.209,3001.809,600.36172
3,BH600*200*8*12,200.0,12.0,600.0,8.0,8100.0,1.0,305.208,292.9997,598.2077,598.20768
4,BH700*200*8*12,200.0,12.0,700.0,8.0,8400.0,2.0,633.024,713.207,1346.231,673.11552
5,BH600*200*10*12,200.0,12.0,600.0,10.0,6500.0,3.0,734.76,881.712,1616.472,538.824
6,BH600*200*8*10,200.0,10.0,600.0,8.0,6000.0,4.0,753.6,874.176,1627.776,406.944
7,BH600*200*10*16,200.0,16.0,600.0,10.0,7000.0,5.0,1758.4,1560.58,3318.98,663.796
8,BH600*250*8*10,250.0,10.0,600.0,8.0,5700.0,6.0,1342.35,1245.701,2588.051,431.3418
9,BH500*200*8*10,200.0,10.0,500.0,8.0,6000.0,7.0,1318.8,1266.048,2584.848,369.264
10,BH400*200*6*8,200.0,8.0,400.0,6.0,5000.0,8.0,1004.8,723.456,1728.256,216.032
11,BH600*200*8*20,200.0,20.0,600.0,8.0,6500.0,9.0,3673.8,2057.328,5731.128,636.792
12,BH600*200*6*10,200.0,10.0,600.0,6.0,7000.0,10.0,2198.0,1912.26,4110.26,411.026
24,,,,,,,,0.0,0.0,0.0,#DIV/0!
