1-2-19全国按单位特征分的农业生产经营单位年末拥有农业生产用房面积-名称,温室面积(公顷),大棚面积(公顷),农业生产用房面积(万平方米),Unnamed: 4,Unnamed: 5
,,,,畜牧养殖用房,渔业养殖用房
,,,,,
一、按单位类型分,10027.0,31184.0,26273.0,16740,2056
单产业法人单位,6362.0,17602.0,12700.0,8386,1181
多产业法人单位的产业活动单位,1740.0,7674.0,7701.0,4264,213
未注册单位,1925.0,5908.0,5871.0,4089,661
二、按主营农业行业分,,,,,
农作物种植业,7386.0,28168.0,3914.0,1294,66
林业,627.0,932.0,1041.0,327,23
畜牧业,901.0,647.0,16976.0,14197,72
渔业,692.0,393.0,1709.0,178,1377
农林牧渔服务业,420.0,1043.0,2633.0,742,518
#农业服务,176.0,875.0,1091.0,59,11
林业服务业,61.0,92.0,61.0,7,0
牧业服务业,68.0,44.0,892.0,665,4
渔业服务业,115.0,32.0,589.0,11,501
三、按机构类型分（不包括未注册单位）,8101.0,25276.0,20402.0,12650,1395
企业,5178.0,20999.0,16329.0,10351,1032
事业单位,1740.0,1603.0,1734.0,894,87
机关,108.0,203.0,134.0,67,4
社会团体,9.0,341.0,117.0,90,3
民办非企业,95.0,260.0,211.0,152,18
其他法人单位,969.0,1845.0,1855.0,1088,250
未回答,2.0,25.0,21.0,10,0
四、按所属系统分（不包括未注册单位）,,,,,
农垦,680.0,4905.0,2518.0,1434,51
林业,398.0,379.0,626.0,222,8
五、按所有制分（不包括未注册单位）,,,,,
国有,2152.0,6179.0,4523.0,2310,157
集体,807.0,1894.0,995.0,510,103
内资私营,2644.0,9686.0,7381.0,5346,675
内资合作、合资,2075.0,6029.0,6323.0,3703,417
港澳台独资,69.0,444.0,156.0,101,12
与港澳台合资,43.0,85.0,74.0,57,6
外商独资,107.0,251.0,140.0,88,3
与外商合资,110.0,230.0,264.0,216,7
未回答,94.0,477.0,545.0,320,14
