表10-2各地区分性别的死亡人口和死亡率-地区别-地区别,表10-2各地区分性别的死亡人口和死亡率-2005年5月1日人口-合计,表10-2各地区分性别的死亡人口和死亡率-2005年5月1日人口-男,表10-2各地区分性别的死亡人口和死亡率-2005年5月1日人口-女,表10-2各地区分性别的死亡人口和死亡率-死亡人口-合计,表10-2各地区分性别的死亡人口和死亡率-死亡人口-男,表10-2各地区分性别的死亡人口和死亡率-单位：人，‰-死亡人口-女,表10-2各地区分性别的死亡人口和死亡率-单位：人，‰-死亡率-男,表10-2各地区分性别的死亡人口和死亡率-单位：人，‰-死亡率-女
湖南省,627670,320971,306699,3899,2256,1643,7,5
长沙市,62656,31616,31040,339,194,145,6,5
株洲市,36186,18332,17854,226,130,96,7,5
湘潭市,31225,15843,15382,211,134,77,8,5
衡阳市,67199,34679,32520,406,239,167,7,5
邵阳市,68739,35264,33475,425,265,160,8,5
岳阳市,48974,25362,23612,251,130,121,5,5
常德市,51482,25867,25615,383,214,169,8,7
张家界市,14827,7490,7337,100,57,43,8,6
益阳市,40251,20549,19702,264,136,128,7,7
郴州市,49697,25818,23879,262,154,108,6,5
永州市,46435,23988,22447,356,205,151,9,7
怀化市,46668,23999,22669,252,150,102,6,5
娄底市,36632,18641,17991,252,147,105,8,6
湘西土家族苗族自治州,26699,13523,13176,172,101,71,7,5
