销售员,区域,订单日期,回签日期,客户订单号,客户名称,产品规格,单价,数量,合计,发货日期,发货数量,批号,厂商,账期,开票日期,发票号,开票金额,理论收款日,收款年份,实际到款日,实际到款金额,"2023年其中
逾期应收账款",客户承诺付款日,信用额度,备注
金颖,江苏省,44930,44935,,江苏阳华制药有限公司,XL-10,150.0,25,3750,44936,25,PP230105xl-10,建华南杭,款到发货,44964,2954034,3750,#VALUE!,2023,44935,3750.0,#VALUE!,,,
金颖,苏北,44993,,YY20230308,扬州一洋制药有限公司,C91,143.0,5000,715000,45062,5000,N2304009,明台,款到发货,45071,20948324,715000,#VALUE!,2023,45013,715000.0,#VALUE!,,,
金颖,上海市,45017,45028,5651010252,百岳特生物技术（上海）有限公司,M102,49.0,75,3675,45033,75,C2210105,明台,30,45041,14663167,3675,45071,2023,45064,3675.0,0,,,
金颖,苏北,45019,45021,751388,美乐家（南通）健康科技有限公司,244FP（美）,208.0,54,11315,45070,54,5210237438,Grace,30,45085,24979034,11315,45115,2023,45138,11315.0,0,45122,,
金颖,苏南,45022,45023,ZJ2023040601,常州制药厂有限公司,M102CG,43.0,4600,197156,45090,4600,C2303010,明台,60,45097,29327476,197156,45157,2023,45124,197156.0,0,,,
金颖,江苏省,45022,45024,ZJ2023040601,常州制药厂有限公司,M102CG,43.0,4500,192870,45117,4500,C2306027,明台,60,45126,41881043,192870,45186,2023,45154,192870.0,0,,266000,
金颖,江苏省,45022,年度合同,ZJ2023040601,常州制药厂有限公司,M102CG,43.0,4825,206800,45169,4825,C2306027,明台,60,45175,72004960,206800,45235,2023,45217,206800.0,0,,,
金颖,江苏省,45022,年度合同,,常州制药厂有限公司,M102CG,43.0,10675,457531,45194,5000,C2306027   150KG. C2308023   4850KG,明台,60,45210,97741164,214300,45270,2023,45259,214300.0,0,45260,,
金颖,江苏省,45022,年度合同,,常州制药厂有限公司,M102CG,43.0,5675,243231,45236,5675,C2308023,明台,60,45238,123922781,243231,45298,2024,45306,243231.0,0,,,
金颖,上海市,45033,不需要,,上海欣富生物科技有限公司,M102,47.0,100,4700,45034,100,C2301114,明台,款到发货,45041,14665369,4700,#VALUE!,2023,45034,4700.0,#VALUE!,,,
金颖,上海市,45033,不需要,,上海欣富生物科技有限公司,M102SD,51.0,100,5100,45051,100,C2210047,明台,款到发货,45056,17272151,5100,#VALUE!,2023,45034,5100.0,#VALUE!,,,
