Name,Model,Unit,Value
Equal Angle Steel,∠20×3,kg/m,0.889
Equal Angle Steel,∠20×4,kg/m,1.145
Equal Angle Steel,∠25×3,kg/m,1.124
Equal Angle Steel,∠25×4,kg/m,1.459
Equal Angle Steel,∠30×3,kg/m,1.373
Equal Angle Steel,∠30×4,kg/m,1.786
Equal Angle Steel,∠36×3,kg/m,1.656
Equal Angle Steel,∠36×4,kg/m,2.163
Equal Angle Steel,∠36×5,kg/m,2.654
Equal Angle Steel,∠40×3,kg/m,1.852
Equal Angle Steel,∠40×4,kg/m,2.422
Equal Angle Steel,∠40×5,kg/m,2.976
Equal Angle Steel,∠45×3,kg/m,2.088
Equal Angle Steel,∠45×4,kg/m,2.736
Equal Angle Steel,∠45×5,kg/m,3.369
Equal Angle Steel,∠45×6,kg/m,3.985
Equal Angle Steel,∠50×3,kg/m,2.332
Equal Angle Steel,∠50×4,kg/m,3.059
Equal Angle Steel,∠50×5,kg/m,3.77
Equal Angle Steel,∠50×6,kg/m,4.465
Equal Angle Steel,∠56×3,kg/m,2.624
Equal Angle Steel,∠56×4,kg/m,3.446
Equal Angle Steel,∠56×5,kg/m,4.251
Equal Angle Steel,∠56×8,kg/m,6.568
Equal Angle Steel,∠63×4,kg/m,3.907
Equal Angle Steel,∠63×5,kg/m,4.822
Equal Angle Steel,∠63×6,kg/m,5.721
Equal Angle Steel,∠63×8,kg/m,7.469
Equal Angle Steel,∠63×10,kg/m,9.151
Equal Angle Steel,∠70×4,kg/m,4.372
Equal Angle Steel,∠70×5,kg/m,5.397
Equal Angle Steel,∠70×6,kg/m,6.406
Equal Angle Steel,∠70×7,kg/m,7.398
Equal Angle Steel,∠70×8,kg/m,8.373
Equal Angle Steel,∠75×5,kg/m,5.818
Equal Angle Steel,∠75×6,kg/m,6.905
Equal Angle Steel,∠75×7,kg/m,7.976
Equal Angle Steel,∠75×8,kg/m,9.03
Equal Angle Steel,∠75×10,kg/m,11.089
Equal Angle Steel,∠80×5,kg/m,6.211
Equal Angle Steel,∠80×6,kg/m,7.376
Equal Angle Steel,∠80×7,kg/m,8.525
Equal Angle Steel,∠80×8,kg/m,9.658
Equal Angle Steel,∠80×10,kg/m,11.874
Equal Angle Steel,∠90×6,kg/m,8.35
Equal Angle Steel,∠90×7,kg/m,9.656
Equal Angle Steel,∠90×8,kg/m,10.946
Equal Angle Steel,∠90×10,kg/m,13.476
Equal Angle Steel,∠90×12,kg/m,15.94
Equal Angle Steel,∠100×6,kg/m,9.366
Equal Angle Steel,∠100×7,kg/m,10.83
Equal Angle Steel,∠100×8,kg/m,12.276
Equal Angle Steel,∠100×10,kg/m,15.12
Equal Angle Steel,∠100×12,kg/m,17.898
Equal Angle Steel,∠100×14,kg/m,20.611
Equal Angle Steel,∠100×16,kg/m,23.257
Equal Angle Steel,∠110×7,kg/m,11.928
Equal Angle Steel,∠110×8,kg/m,13.532
Equal Angle Steel,∠110×10,kg/m,16.69
Equal Angle Steel,∠110×12,kg/m,19.782
Equal Angle Steel,∠110×14,kg/m,22.809
Equal Angle Steel,∠120×8,kg/m,15.504
Equal Angle Steel,∠120×10,kg/m,19.133
Equal Angle Steel,∠120×12,kg/m,22.696
Equal Angle Steel,∠120×14,kg/m,26.193
Equal Angle Steel,∠140×10,kg/m,21.488
Equal Angle Steel,∠140×12,kg/m,25.522
Equal Angle Steel,∠140×14,kg/m,29.49
Equal Angle Steel,∠140×16,kg/m,33.393
Equal Angle Steel,∠160×10,kg/m,24.729
Equal Angle Steel,∠160×12,kg/m,29.391
Equal Angle Steel,∠160×14,kg/m,33.987
Equal Angle Steel,∠160×16,kg/m,38.518
Equal Angle Steel,∠180×12,kg/m,33.159
Equal Angle Steel,∠180×14,kg/m,38.383
Equal Angle Steel,∠180×16,kg/m,43.542
Equal Angle Steel,∠180×18,kg/m,48.634
Equal Angle Steel,∠200×14,kg/m,42.894
Equal Angle Steel,∠200×16,kg/m,48.68
Equal Angle Steel,∠200×18,kg/m,54.401
Equal Angle Steel,∠200×20,kg/m,60.056
Equal Angle Steel,∠200×24,kg/m,71.168
