Name,Model,Unit,Value
Cold-formed equal flange channel steel,[20×10×1.5,kg/m,0.401
Cold-formed equal flange channel steel,[20×10×2.0,kg/m,0.505
Cold-formed equal flange channel steel,[20×10×2.5,kg/m,0.593
Cold-formed equal flange channel steel,[30×10×1.5,kg/m,0.519
Cold-formed equal flange channel steel,[30×10×2.0,kg/m,0.662
Cold-formed equal flange channel steel,[30×10×2.5,kg/m,0.789
Cold-formed equal flange channel steel,[30×30×3.0,kg/m,1.843
Cold-formed equal flange channel steel,[40×20×2.0,kg/m,1.133
Cold-formed equal flange channel steel,[40×20×2.5,kg/m,1.378
Cold-formed equal flange channel steel,[40×20×3.0,kg/m,1.607
Cold-formed equal flange channel steel,[50×30×2.0,kg/m,1.604
Cold-formed equal flange channel steel,[50×30×2.5,kg/m,1.967
Cold-formed equal flange channel steel,[50×30×3.0,kg/m,2.314
Cold-formed equal flange channel steel,[50×50×3.0,kg/m,3.256
Cold-formed equal flange channel steel,[60×30×2.5,kg/m,2.163
Cold-formed equal flange channel steel,[60×30×3.0,kg/m,2.549
Cold-formed equal flange channel steel,[80×40×2.5,kg/m,2.984
Cold-formed equal flange channel steel,[80×40×3.0,kg/m,3.491
Cold-formed equal flange channel steel,[80×40×4.0,kg/m,4.532
Cold-formed equal flange channel steel,[100×50×3.0,kg/m,4.433
Cold-formed equal flange channel steel,[100×50×4.0,kg/m,5.788
Cold-formed equal flange channel steel,[120×60×3.0,kg/m,5.375
Cold-formed equal flange channel steel,[120×60×4.0,kg/m,7.044
Cold-formed equal flange channel steel,[140×60×3.0,kg/m,5.846
Cold-formed equal flange channel steel,[140×60×4.0,kg/m,7.672
Cold-formed equal flange channel steel,[140×60×5.0,kg/m,9.436
Cold-formed equal flange channel steel,[160×60×3.0,kg/m,9.317
Cold-formed equal flange channel steel,[160×60×4.0,kg/m,8.3
Cold-formed equal flange channel steel,[160×60×5.0,kg/m,10.221
Cold-formed equal flange channel steel,[160×80×3.0,kg/m,7.259
Cold-formed equal flange channel steel,[160×80×4.0,kg/m,9.556
Cold-formed equal flange channel steel,[160×80×5.0,kg/m,11.791
Cold-formed equal flange channel steel,[180×80×4.0,kg/m,10.184
Cold-formed equal flange channel steel,[180×80×5.0,kg/m,12.576
Cold-formed equal flange channel steel,[200×80×4.0,kg/m,10.812
Cold-formed equal flange channel steel,[200×80×5.0,kg/m,13.361
Cold-formed equal flange channel steel,[200×80×6.0,kg/m,15.849
