Name,Model,Unit,Value
Hot-rolled channel steel,[5(50×37×4.5),kg/m,5.438
Hot-rolled channel steel,[6.3(63×40×4.8),kg/m,6.634
Hot-rolled channel steel,[8(80×43×5.0),kg/m,8.045
Hot-rolled channel steel,[10(100×48×5.3),kg/m,10.007
Hot-rolled channel steel,[12.6(126×53×5.5),kg/m,12.318
Hot-rolled channel steel,[14a(140×58×6.0),kg/m,14.535
Hot-rolled channel steel,[14b(140×60×8.0),kg/m,16.733
Hot-rolled channel steel,[16a(160×63×6.5),kg/m,17.24
Hot-rolled channel steel,[16(160×63×8.5),kg/m,19.752
Hot-rolled channel steel,[18a(180×68×7.0),kg/m,20.717
Hot-rolled channel steel,[18(180×70×9.0),kg/m,23.0
Hot-rolled channel steel,[20a×200×73×7.0),kg/m,22.637
Hot-rolled channel steel,[20(200×75×9.0),kg/m,25.777
Hot-rolled channel steel,[22a(220×77×7.0),kg/m,24.999
Hot-rolled channel steel,[22(220×79×9.0),kg/m,28.453
Hot-rolled channel steel,[25a(250×78×7.00,kg/m,27.41
Hot-rolled channel steel,[25b(250×80×9.0),kg/m,31.335
Hot-rolled channel steel,[25c(250×82×11.0),kg/m,35.26
Hot-rolled channel steel,[28a(280×82×7.5),kg/m,31.247
Hot-rolled channel steel,[28b(280×84×9.5),kg/m,35.823
Hot-rolled channel steel,[28c(280×86×11.5),kg/m,40.219
Hot-rolled channel steel,[32a(320×88×8.0),kg/m,38.083
Hot-rolled channel steel,[32b(320×90×10.0),kg/m,43.107
Hot-rolled channel steel,[32c(320×92×12.0),kg/m,48.131
Hot-rolled channel steel,[36a(360×96×9.0),kg/m,47.814
Hot-rolled channel steel,[36b(360×98×11.0),kg/m,53.466
Hot-rolled channel steel,[36c(360×100×13.0),kg/m,59.118
Hot-rolled channel steel,[40a(400×100×10.5),kg/m,58.928
Hot-rolled channel steel,[40b(400×102×12.5),kg/m,65.208
Hot-rolled channel steel,[40c(400×104×14.50),kg/m,71.488
Hot-rolled channel steel,[6.5(65×40×4.3),kg/m,6.709
Hot-rolled channel steel,[12(120×53×5.5),kg/m,12.059
Hot-rolled channel steel,[24a(240×78×7.0),kg/m,26.86
Hot-rolled channel steel,[24b(240×80×9.0),kg/m,30.628
Hot-rolled channel steel,[24c(240×80×11.0),kg/m,31.396
Hot-rolled channel steel,[27a(270×82×7.5),kg/m,30.838
Hot-rolled channel steel,[27b(270×84×9.5),kg/m,35.077
Hot-rolled channel steel,[27c(270×86×11.5),kg/m,39.316
Hot-rolled channel steel,[30a(300×85×7.5),kg/m,34.463
Hot-rolled channel steel,[30b(300×87×9.5),kg/m,39.173
Hot-rolled channel steel,[30c(300×89×11.5),kg/m,43.883
Hot-rolled channel steel,[10(100×45×4.0),kg/m,7.56
Hot-rolled channel steel,[12(120×55×4.2),kg/m,9.83
Hot-rolled channel steel,[14(140×60×4.4),kg/m,11.52
Hot-rolled channel steel,[16(160×65×4.6),kg/m,13.32
Hot-rolled channel steel,[18(180×70×4.8),kg/m,15.31
Hot-rolled channel steel,[20(200×75×4.8),kg/m,17.61
Hot-rolled channel steel,[22(80×5.4×9.7),kg/m,20.91
Hot-rolled channel steel,[25(250×85×5.8),kg/m,21.71
Hot-rolled channel steel,[28(280×90×6.0),kg/m,27.73
Hot-rolled channel steel,[32(320×95×6.2),kg/m,31.49
Hot-rolled channel steel,[36(360×105×6.5),kg/m,36.8
Hot-rolled channel steel,[40(400×115×7.0),kg/m,43.74
