Name,Model,Unit,Value
Unequal angle steel,∠25×16×3,kg/m,0.912
Unequal angle steel,∠25×16×4,kg/m,1.176
Unequal angle steel,∠32×20×3,kg/m,1.171
Unequal angle steel,∠32×20×4,kg/m,1.522
Unequal angle steel,∠40×25×3,kg/m,1.484
Unequal angle steel,∠40×25×4,kg/m,1.936
Unequal angle steel,∠45×28×3,kg/m,1.687
Unequal angle steel,∠45×28×4,kg/m,2.203
Unequal angle steel,∠50×32×3,kg/m,1.908
Unequal angle steel,∠50×32×4,kg/m,2.494
Unequal angle steel,∠56×36×3,kg/m,2.153
Unequal angle steel,∠56×36×4,kg/m,2.818
Unequal angle steel,∠56×36×5,kg/m,3.466
Unequal angle steel,∠63×40×4,kg/m,3.185
Unequal angle steel,∠63×40×5,kg/m,3.92
Unequal angle steel,∠63×40×6,kg/m,4.638
Unequal angle steel,∠63×40×7,kg/m,5.339
Unequal angle steel,∠70×45×4,kg/m,3.57
Unequal angle steel,∠70×45×5,kg/m,4.403
Unequal angle steel,∠70×45×6,kg/m,5.218
Unequal angle steel,∠70×45×7,kg/m,6.011
Unequal angle steel,∠75×50×5,kg/m,4.808
Unequal angle steel,∠75×50×6,kg/m,5.699
Unequal angle steel,∠75×50×8,kg/m,7.431
Unequal angle steel,∠75×50×10,kg/m,9.098
Unequal angle steel,∠80×50×5,kg/m,5.005
Unequal angle steel,∠80×50×6,kg/m,5.935
Unequal angle steel,∠80×50×7,kg/m,6.848
Unequal angle steel,∠80×50×8,kg/m,7.745
Unequal angle steel,∠90×56×5,kg/m,5.661
Unequal angle steel,∠90×56×6,kg/m,6.717
Unequal angle steel,∠90×56×7,kg/m,7.756
Unequal angle steel,∠90×56×8,kg/m,8.779
Unequal angle steel,∠100×63×6,kg/m,7.55
Unequal angle steel,∠100×63×7,kg/m,8.722
Unequal angle steel,∠100×63×8,kg/m,9.878
Unequal angle steel,∠100×63×10,kg/m,12.142
Unequal angle steel,∠100×80×6,kg/m,8.35
Unequal angle steel,∠100×80×7,kg/m,9.656
Unequal angle steel,∠100×80×8,kg/m,10.946
Unequal angle steel,∠100×80×10,kg/m,13.476
Unequal angle steel,∠100×70×6,kg/m,8.35
Unequal angle steel,∠100×70×7,kg/m,9.656
Unequal angle steel,∠100×70×8,kg/m,10.946
Unequal angle steel,∠100×70×10,kg/m,13.476
Unequal angle steel,∠125×80×7,kg/m,11.066
Unequal angle steel,∠125×80×8,kg/m,12.551
Unequal angle steel,∠125×80×10,kg/m,15.474
Unequal angle steel,∠125×80×12,kg/m,18.33
Unequal angle steel,∠140×90×8,kg/m,14.16
Unequal angle steel,∠140×90×10,kg/m,17.475
Unequal angle steel,∠140×90×12,kg/m,20.724
Unequal angle steel,∠140×90×14,kg/m,23.908
Unequal angle steel,∠160×100×10,kg/m,19.872
Unequal angle steel,∠160×100×12,kg/m,23.592
Unequal angle steel,∠160×100×14,kg/m,27.247
Unequal angle steel,∠160×100×16,kg/m,30.835
Unequal angle steel,∠180×110×10,kg/m,22.273
Unequal angle steel,∠180×110×12,kg/m,26.464
Unequal angle steel,∠180×110×14,kg/m,30.589
Unequal angle steel,∠180×110×16,kg/m,34.649
Unequal angle steel,∠200×125×12,kg/m,29.761
Unequal angle steel,∠200×125×14,kg/m,34.436
Unequal angle steel,∠200×125×16,kg/m,39.045
Unequal angle steel,∠200×125×18,kg/m,43.588
