元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-项目-项目,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-项目-项目.1,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-项目-项目.2,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-行次-行次,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-申报值-2017年,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-申报值-2018年,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-申报值-2019年,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-申报值-三年平均数,元江县水利灌区管理局2017—2019年县属水利工程供水基本情况表(表二)-单位：万元-备注-备注,Unnamed: 9,Unnamed: 10,Unnamed: 11,元江县水利灌区管理局2017—2019年县属水利工程供水定调价成本测算表
一、资产、负债、所有者权益,一、资产、负债、所有者权益,一、资产、负债、所有者权益,1,,,,,,,,,
（一）,资产,资产,2,14697.0,15481.0,15658.0,15279.0,,,,,
1,固定资产净值,固定资产净值,3,13760.0,14013.0,14506.0,14093.0,,,,,
,其中：固定资产原值,其中：固定资产原值,4,33214.0,33715.0,34461.0,33797.0,,,,,
,累计折旧, 累计折旧,5,19454.0,19702.0,19955.0,19704.0,,,,,
2,流动资产,流动资产,6,937.0,1432.0,997.0,1122.0,,,,,
3,在建工程,在建工程,7,,36.0,155.0,64.0,,,,,
（二）,负债,负债,8,709.0,1187.0,902.0,933.0,,,,,
（三）,所有者权益(净资产),所有者权益(净资产),9,13988.0,14294.0,14756.0,14346.0,,,,,
,实收资本,实收资本,10,,,,,,,,,
,资本公积,资本公积,11,,,,,,,,,
,盈余公积,盈余公积,12,,,,,,,,,
,未分配利润,未分配利润,13,,,,,,,,,
二、收入、支出情况,二、收入、支出情况,二、收入、支出情况,14,,,,,,,,,
（一）,年初财政专户余额,年初财政专户余额,15,,,,,,,,,
加,原水收入（本年财政拨款专户收入）,原水收入（本年财政拨款专户收入）,16,,,,,,,,,
减,提取水源保护专项资金,提取水源保护专项资金,17,,,,,,,,,
,财政统筹资金,财政统筹资金,18,,,,,,,,,
（二）,水库收入合计,水库收入合计,19,1891.0,2005.0,1893.0,1930.0,,,,,
1,水费收入（财政当年核拨数）,水费收入（财政当年核拨数）,20,,,,,,,,,
2,其他收入,其他收入,21,,,,,,,,,
3,拨入专款,拨入专款,22,,,,,,,,,
附,年末财政专户余额,年末财政专户余额,23,,,,,,,,,
（三）支出情况,（三）支出情况,（三）支出情况,24,2124.0,2338.0,1963.0,2141.0,,,,,
1,1 ,行政事业性支出,25,,,,,,,,,
2,2 ,其它支出,26,,,,,,,,,
三、其他基本情况,三、其他基本情况,三、其他基本情况,27,,,,,,,,,
（一）,（一）,总库容量（万立方米）,28,9524.0,9524.0,9524.0,9524.0,,,,,
,,其中：死库容（万立方米）,29,342.0,342.0,342.0,342.0,,,,,
,,兴利库容（万立方米）,30,7946.0,7946.0,7946.0,7946.0,,,,,
,,调洪库容（万立方米）,31,1289.0,1289.0,1289.0,1289.0,,,,,
,,防洪库容（万立方米）,32,1289.0,1289.0,1289.0,1289.0,,,,,
（二）,（二）,年供水量（万立方米）,33,9549.0,9056.0,9681.0,9428.0,,,,,
,,其中：工业用水（万立方米）,34,33.0,19.0,14.0,22.0,,,,,
,,工业用水比重（%）,35,0.0,0.0,0.0,0.0,,,,,
,,生活用水（万立方米）,36,520.0,570.0,634.0,575.0,,,,,
,,生活用水比重（%）,37,0.0,0.0,0.0,0.0,,,,,
,,发电用水（万立方米）,38,5352.0,4911.0,5324.0,5196.0,,,,,
,,发电用水比重（%）,39,0.0,0.0,0.0,0.0,,,,,
,,农业用水（万立方米）,40,3643.0,3555.0,3709.0,3636.0,,,,,
,,农业用水比重（%）,41,1.0,1.0,1.0,1.0,,,,,
（三）,（三）,年排水水量（万立方米）,42,,,,,,,,,
（四）,（四）,输水管道长度（公里）,43,,,,,,,,,
（五）,（五）,年耗动力电总量（万千瓦时）,44,,,,,,,,,
（六）,（六）,单位供水耗电量（万千瓦时/万立方米),45,,,,,,,,,
（七）,（七）,企业职工总数（人）,46,127.0,123.0,117.0,122.0,,,,,
,,其中:核定编制人数,47,153.0,153.0,153.0,153.0,,,,,
,,在职职工,48,127.0,123.0,117.0,122.0,,,,,
,,离退休人员,49,73.0,77.0,80.0,77.0,,,,,
（八）,（八）,在职企业工资总额(统计报表),50,,,,,,,,,
