8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-Source:WorldBankWDIDatabase.-Source:WorldBankWDIDatabase.-Unit:%-CountryorRegion,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-CountryorArea,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-2000,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-2005,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-2010,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-2015,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-2019,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-2020,8-14S&PGlobalEquityIndices(Annual%Change)-S&PGlobalEquityIndices(Annual%Change)-(%)-2021
,,,,,,,,
China,China,-9.8,13.3,6.9,-6.0,19.3,27.9,-20.7
"Hong Kong, China","Hong Kong SAR, China",-12.6,8.1,21.3,-5.4,5.1,5.1,-7.3
Bangladesh,Bangladesh,28.5,-27.8,37.6,-5.4,-18.2,23.6,20.6
India,India,-31.1,33.6,18.7,-3.9,6.1,15.8,30.1
Indonesia,Indonesia,-61.0,9.1,37.9,-23.1,7.1,-9.7,-1.8
Israel,Israel,8.6,23.3,7.4,4.8,18.4,17.4,19.8
Japan,Japan,-34.9,22.5,9.6,9.1,18.2,16.0,4.9
Kazakhstan,Kazakhstan,,,-1.0,-47.6,0.2,7.2,59.9
South Korea,"Korea, Rep.",-57.1,58.8,25.3,-5.0,7.2,44.1,-7.0
Malaysia,Malaysia,-23.3,-2.9,35.1,-20.6,-1.0,4.2,-8.3
Pakistan,Pakistan,-16.7,58.5,15.3,-11.5,-6.6,-7.5,-15.0
Philippines,Philippines,-43.6,21.3,56.7,-10.6,7.8,-3.3,-3.5
Singapore,Singapore,-25.9,10.0,18.4,-18.9,13.5,5.4,9.2
Sri Lanka,Sri Lanka,-41.7,29.3,84.6,-19.4,-4.0,-6.9,35.1
Thailand,Thailand,-54.1,3.8,52.1,-22.8,11.9,-9.3,2.0
Vietnam,Viet Nam,,,0.5,-7.2,3.6,17.7,37.1
Egypt,Egypt,-45.7,158.0,11.5,-27.5,25.4,-22.4,13.7
Nigeria,Nigeria,,20.7,20.3,-26.8,-19.7,8.5,0.2
South Africa,South Africa,-17.3,24.8,32.1,-26.6,8.6,-7.0,5.4
Canada,Canada,4.0,26.0,22.0,-26.2,25.3,4.5,22.7
Mexico,Mexico,-21.5,43.9,26.6,-14.9,9.9,-3.6,16.6
United States,United States,-10.1,3.0,12.8,-0.7,28.9,16.3,26.9
Argentina,Argentina,-25.1,45.4,55.3,-10.2,32.5,123.2,-17.9
Brazil,Brazil,-10.3,47.6,6.5,-44.3,26.0,-19.0,-25.3
Venezuela,Venezuela,18.7,-22.0,,,,,
Czech Republic,Czech Rep.,-0.6,43.5,0.2,-13.1,-0.8,-4.1,43.7
France,France,-6.9,7.7,-9.9,8.5,26.4,-7.1,28.9
Germany,Germany,-13.5,10.3,7.4,9.6,25.5,3.6,15.8
Italy,Italy,-2.0,-0.3,-17.4,3.2,24.5,2.7,14.9
Netherlands,Netherlands,-6.7,10.8,1.2,0.5,30.6,26.9,26.6
Poland,Poland,-3.5,20.8,11.3,-23.4,-5.7,-5.1,12.3
Russia,Russia,-32.2,64.9,21.7,0.8,41.8,-13.0,15.1
Spain,Spain,-17.6,3.4,-24.5,-17.4,8.6,-7.5,-0.2
Turkey,Turkey,-51.2,49.5,21.4,-32.1,12.0,-0.6,-29.9
Ukraine,Ukraine,75.2,52.8,53.8,1.5,-12.1,25.7,13.1
United Kingdom,United Kingdom,-16.9,4.7,5.2,-4.9,12.1,-14.3,14.3
Australia,Australia,-8.8,11.7,12.5,-13.0,18.3,9.7,8.5
New Zealand,New Zealand,-26.6,-2.7,5.2,-4.6,30.7,25.5,-11.9
