表7-4湖南省不同规模的家庭户类别-户规模,表7-4湖南省不同规模的家庭户类别-家庭户户数,表7-4湖南省不同规模的家庭户类别-一代户,表7-4湖南省不同规模的家庭户类别-二代户,表7-4湖南省不同规模的家庭户类别-三代户,表7-4湖南省不同规模的家庭户类别-单位：户-四代户,表7-4湖南省不同规模的家庭户类别-单位：户-五代及以上户
总计,178316,48098,93843.0,35154.0,1220.0,1.0
一人户,15536,15536,,,,
二人户,40766,31595,9171.0,,,
三人户,51114,646,48828.0,1640.0,,
四人户,40328,188,29312.0,10800.0,28.0,
五人户,20461,84,5543.0,14587.0,247.0,
六人户,7039,23,796.0,5742.0,478.0,
七人户,1886,7,133.0,1435.0,310.0,1.0
八人户,725,4,31.0,592.0,98.0,
九人户,271,5,15.0,213.0,38.0,
十人及以上户,190,10,14.0,145.0,21.0,
