规模以上工业企业主要经济效益指标（按行业分组二）-2021年7月-行业名称-行业名称,规模以上工业企业主要经济效益指标（按行业分组二）-2021年7月-营业收入-1-7月,规模以上工业企业主要经济效益指标（按行业分组二）-2021年7月-营业收入-比去年同期增长（%）,规模以上工业企业主要经济效益指标（按行业分组二）-2021年7月-利润总额-1-7月,规模以上工业企业主要经济效益指标（按行业分组二）-2021年7月-利润总额-比去年同期增长（%）,规模以上工业企业主要经济效益指标（按行业分组二）-2021年7月-税金总额-1-7月,规模以上工业企业主要经济效益指标（按行业分组二）-单位：亿元-税金总额-比去年同期增长（%）
橡胶和塑料制品业,637,20.2,58,0.6,12,5.7
非金属矿物制品业,548,32.7,32,18.8,11,18.0
黑色金属冶炼和压延加工业,1285,40.9,100,34.7,4,0.5
有色金属冶炼和压延加工业,283,30.2,8,40.7,1,-31.4
金属制品业,721,31.8,48,1.3倍,11,6.1
通用设备制造业,2045,18.9,157,32.7,33,4.3
专用设备制造业,1016,25.8,104,27.5,18,43.3
汽车制造业,4364,17.8,271,-18.9,137,0.7
铁路、船舶、航空航天和其他运输设备制造业,501,16.9,0,-98.8,4,-68.5
电气机械和器材制造业,1635,33.9,103,30.7,22,4.1
计算机、通信和其他电子设备制造业,2797,-8.0,84,25.4,3,--
仪器仪表制造业,274,21.4,33,21.5,5,19.5
其他制造业,34,26.6,3,97.9,1,10.7
废弃资源综合利用业,36,42.1,4,-6.6,1,-18.6
金属制品、机械和设备修理业,136,2.4,1,--,3,-38.3
电力、热力生产和供应业,757,18.5,28,16.7,26,46.8
燃气生产和供应业,294,22.9,9,41.7,1,38.6
水的生产和供应业,67,10.2,4,6.4,2,10.3
,,,,,,
工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释,工业统计范围、采集渠道及主要指标解释
一、统计范围,,,,,,
本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。,    本表统计范围均为规模以上工业企业，即年主营业务收入2000万元及以上的法人工业企业。
二、采集渠道,,,,,,
规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。,    规模以上法人工业企业按照《工业统计报表制度》要求，填报统计报表，通过各级统计部门逐级审核上报统计数据。上海市统计局汇总全市规模以上工业统计数据，经国家统计局统一审核评估后对外发布。
