1-1-35全国按住户生产经营情况和受教育程度分的家庭户农业从业人员数量-名称,单位：人-合计,未上学,小学,初中,高中,大专及以上
,,,,,,
合        计,341414555.0,32449280.0,140529373.0,153781193.0,13929517.0,725190.0
一、按住户收入和经营兼业情况分,,,,,,
纯农户,306444545.0,29127847.0,126137309.0,138183726.0,12354132.0,641529.0
农业兼业户,17601514.0,1619538.0,7063162.0,8060921.0,817313.0,40580.0
非农业兼业户,17368496.0,1701895.0,7328902.0,7536546.0,758072.0,43081.0
二、按农业生产经营户经营主要农业行业分,,,,,,
农作物种植业,315818022.0,30050700.0,130133657.0,142256041.0,12730915.0,646707.0
林业,4039836.0,390471.0,1813473.0,1639483.0,185067.0,11342.0
畜牧业,17876083.0,1792146.0,7158800.0,8067813.0,801578.0,55746.0
渔业,2812875.0,171674.0,1140232.0,1337337.0,156330.0,7302.0
农林牧渔服务业,867712.0,44287.0,283201.0,480504.0,55627.0,4093.0
未填写,27.0,2.0,10.0,15.0,,
