存货明细账-期间:-仓库编码-仓库编码,存货明细账-2024.05-2024.06-仓库-仓库,存货明细账-存货编码-存货编码,存货明细账-成本核算方法-成本核算方法,存货明细账-存货-存货,存货明细账-计量单位-计量单位,存货明细账-期间-期间,存货明细账-单据类型-单据类型,存货明细账-单据日期-单据日期,存货明细账-单据编号-单据编号,存货明细账-业务类型-业务类型,存货明细账-往来单位-往来单位,存货明细账-收入-数量,存货明细账-收入-单价,存货明细账-收入-金额,存货明细账-发出-数量,存货明细账-发出-单价,存货明细账-发出-金额,存货明细账-结存-数量,存货明细账-结存-单价,存货明细账-结存-金额
3,面板成品库,测试2024,月末平均,测试2024,片,2024.05,期初结存,,,,,,,,,,,,,
3,面板成品库,测试2024,月末平均,测试2024,片,2024.05,其他入库单,2024-05-28,IC20240500001,其他,,1000.0,1.0,1000.0,,,,1000.0,1,1000
3,面板成品库,测试2024,月末平均,测试2024,片,2024.05,销售出库单,2024-05-29,IO20240500001,普通销售,测试2024,,,,900.0,1.0,900.0,100.0,1,100
,,,,,,(2024.05)小计：,,,,,,1000.0,,1000.0,900.0,,900.0,,,
3,面板成品库,测试2024,月末平均,测试2024,片,2024.06,期初结存,,,,,,,,,,,100.0,1,100
3,面板成品库,测试2024,月末平均,测试2024,片,2024.06,其他入库单,2024-06-25,IC20240600002,其他,,1000.0,5.0,5000.0,,,,1100.0,5,5100
3,面板成品库,测试2024,月末平均,测试2024,片,2024.06,其他入库单,2024-06-29,IC20240600001,其他,,1000.0,2.0,1500.0,,,,2100.0,3,6600
3,面板成品库,测试2024,月末平均,测试2024,片,2024.06,销售出库单,2024-06-29,IO20240600002,普通销售,测试2024,,,,900.0,3.0,2829.0,1200.0,3,3771
3,面板成品库,测试2024,月末平均,测试2024,片,2024.06,销售出库单,2024-06-29,IO20240600003,普通销售,测试2024,,,,150.0,3.0,471.0,1050.0,3,3300
,,,,,,(2024.06)小计：,,,,,,2000.0,,6500.0,1050.0,,3300.0,,,
,,(测试2024)小计：,,,,,,,,,,3000.0,,7500.0,1950.0,,4200.0,,,
3,面板成品库,测试2024002,月末平均,测试2024002,片,2024.06,期初结存,,,,,,,,,,,,,
3,面板成品库,测试2024002,月末平均,测试2024002,片,2024.06,其他入库单,2024-06-01,IC20240600003,其他,,563.0,3.0,1424.0,,,,563.0,3,1424
3,面板成品库,测试2024002,月末平均,测试2024002,片,2024.06,销售出库单,2024-06-03,IO20240600004,普通销售,测试2024,,,,280.0,7.0,2057.0,283.0,(2),(633)
3,面板成品库,测试2024002,月末平均,测试2024002,片,2024.06,其他入库单,2024-06-04,IC20240600004,其他,,268.0,15.0,4149.0,,,,551.0,6,3516
3,面板成品库,测试2024002,月末平均,测试2024002,片,2024.06,其他入库单,2024-06-20,IC20240600005,其他,,159.0,11.0,1700.0,,,,710.0,7,5216
3,面板成品库,测试2024002,月末平均,测试2024002,片,2024.06,销售出库单,2024-06-30,IO20240600006,普通销售,测试2024,,,,196.0,7.0,1440.0,514.0,7,3776
,,,,,,(2024.06)小计：,,,,,,990.0,,7273.0,476.0,,3497.0,,,
,,(测试2024002)小计：,,,,,,,,,,990.0,,7273.0,476.0,,3497.0,,,
3,面板成品库,测试2024003,移动平均,测试2024003,片,2024.06,期初结存,,,,,,,,,,,,,
3,面板成品库,测试2024003,移动平均,测试2024003,片,2024.06,其他入库单,2024-06-01,IC20240600006,其他,,563.0,3.0,1424.0,,,,563.0,3,1424
3,面板成品库,测试2024003,移动平均,测试2024003,片,2024.06,销售出库单,2024-06-03,IO20240600005,普通销售,测试2024,,,,280.0,3.0,708.0,283.0,3,716
3,面板成品库,测试2024003,移动平均,测试2024003,片,2024.06,其他入库单,2024-06-04,IC20240600007,其他,,268.0,15.0,4149.0,,,,551.0,9,4865
3,面板成品库,测试2024003,移动平均,测试2024003,片,2024.06,其他入库单,2024-06-20,IC20240600008,其他,,159.0,11.0,1700.0,,,,710.0,9,6564
3,面板成品库,测试2024003,移动平均,测试2024003,片,2024.06,销售出库单,2024-06-30,IO20240600007,普通销售,测试2024,,,,196.0,9.0,1812.0,514.0,9,4752
,,,,,,(2024.06)小计：,,,,,,990.0,,7273.0,476.0,,2521.0,,,
,,(测试2024003)小计：,,,,,,,,,,990.0,,7273.0,476.0,,2521.0,,,
(03)小计：,,,,,,,,,,,,4980.0,,22045.0,2902.0,,10217.0,,,
合计：,,,,,,,,,,,,4980.0,,22045.0,2902.0,,10217.0,,,
,,,,,,,,,,,,,,,,,,,,
制表人:,马庆阳,,,打印日期:,,其他信息:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,第1页/共1页,,,,,,,,,,,,,,,,
