附件三-上海市电网夏季销售电价表（未实行分时电价用户）,上海市电网夏季销售电价表（未实行分时电价用户）,上海市电网夏季销售电价表（未实行分时电价用户）.1,上海市电网夏季销售电价表（未实行分时电价用户）.2,上海市电网夏季销售电价表（未实行分时电价用户）.3,上海市电网夏季销售电价表（未实行分时电价用户）.4,上海市电网夏季销售电价表（未实行分时电价用户）-单位：元/千瓦时
分类,分类,分类,400伏以下,10千伏,35千伏,110千伏及以上
单 一 制,居民生活, 居民生活,1,1,,
单 一 制,一般照明,一般照明,1,1,1,1
单 一 制,非普动力,非普动力,1,1,1,1
单 一 制,下水道动力,下水道动力,1,1,1,1
单 一 制,农业生产,农业生产,1,1,1,
单 一 制,农副动力,农副动力,0,0,0,
单 一 制,排灌动力,排灌动力,0,0,0,
两 部 制,电度电价,一般工业,1,1,1,1
两 部 制,电度电价,烧碱,,0,0,0
两 部 制,电度电价,烧碱（离子膜）,,0,0,0
两 部 制,电度电价,合成氨,,0,0,0
两 部 制,电度电价,煤气,,1,1,1
两 部 制,电度电价,照明,1,1,1,1
两 部 制,基本电费,基本电费,22元/千伏安*月(按变压器容量),22元/千伏安*月(按变压器容量),22元/千伏安*月(按变压器容量),22元/千伏安*月(按变压器容量)
两 部 制,基本电费,基本电费,33元/千瓦*月(按最大需量),33元/千瓦*月(按最大需量),33元/千瓦*月(按最大需量),33元/千瓦*月(按最大需量)
,,,,,,
上海市电网夏季销售电价表（实行两部制分时电价用户）,上海市电网夏季销售电价表（实行两部制分时电价用户）,上海市电网夏季销售电价表（实行两部制分时电价用户）,上海市电网夏季销售电价表（实行两部制分时电价用户）,上海市电网夏季销售电价表（实行两部制分时电价用户）,上海市电网夏季销售电价表（实行两部制分时电价用户）,上海市电网夏季销售电价表（实行两部制分时电价用户）
,,,,,,
,,,,,,单位：元/千瓦时
分类,分类,分类,400伏以下,10千伏,35千伏,110千伏及以上
电度电价,峰时段     （8-11时、     13-15时、     18-21时）,工业,1,1,1,1
电度电价,峰时段     （8-11时、     13-15时、     18-21时）,非工经营,1,1,1,1
电度电价,峰时段     （8-11时、     13-15时、     18-21时）,农业生产(试行),,1,,
电度电价,平时段     （6-8时、     11-13时、     15-18时、     21-22时）,工业,1,1,1,1
电度电价,平时段     （6-8时、     11-13时、     15-18时、     21-22时）,非工经营,1,1,1,1
电度电价,平时段     （6-8时、     11-13时、     15-18时、     21-22时）,农业生产(试行),,0,,
电度电价,谷时段     （22时-          次日6时）,工业,0,0,0,0
电度电价,谷时段     （22时-          次日6时）,非工经营,0,0,0,0
电度电价,谷时段     （22时-          次日6时）,农业生产(试行),,0,,
基本电费,基本电费,基本电费,22元/千伏安*月(按变压器容量),22元/千伏安*月(按变压器容量),22元/千伏安*月(按变压器容量),22元/千伏安*月(按变压器容量)
基本电费,基本电费,基本电费,33元/千瓦*月(按最大需量),33元/千瓦*月(按最大需量),33元/千瓦*月(按最大需量),33元/千瓦*月(按最大需量)
,,,,,,
上海市电网夏季销售电价表（实行单一制分时电价用户）,上海市电网夏季销售电价表（实行单一制分时电价用户）,上海市电网夏季销售电价表（实行单一制分时电价用户）,上海市电网夏季销售电价表（实行单一制分时电价用户）,上海市电网夏季销售电价表（实行单一制分时电价用户）,上海市电网夏季销售电价表（实行单一制分时电价用户）,上海市电网夏季销售电价表（实行单一制分时电价用户）
,,,,,,
,,,,,单位：元/千瓦时,
,分类,分类,400伏以下,10千伏,35千伏,
,峰时段     （6-22时）,工业,1,1,1,
,峰时段     （6-22时）,非工经营,1,1,1,
,峰时段     （6-22时）,农业生产(试行),1,,,
,峰时段     （6-22时）,居民分时,1,,,
,谷时段       （22时-       次日6时）,工业,0,0,0,
,谷时段       （22时-       次日6时）,非工经营,0,0,0,
,谷时段       （22时-       次日6时）,农业生产(试行),0,,,
,谷时段       （22时-       次日6时）,居民分时,0,,,
