附件一,上海市发电企业上网电价表-电厂名称-电厂名称,上海市发电企业上网电价表-装机容量-万千瓦,上海市发电企业上网电价表-含税上网电价-元/千千瓦时,上海市发电企业上网电价表-备注-备注
,标杆电价,,400,脱硫机组另加         15元/千千瓦时
,上海外高桥第二发电有限责任公司,180.0,400,脱硫机组另加         15元/千千瓦时
,华能上海石洞口第一电厂,124.0,364,脱硫机组另加         15元/千千瓦时
,华能上海石洞口第二电厂,120.0,364,脱硫机组另加         15元/千千瓦时
,上海外高桥发电有限责任公司,120.0,402,脱硫机组另加         15元/千千瓦时
,上海吴泾发电有限责任公司,60.0,413,脱硫机组另加         15元/千千瓦时
,上海吴泾第二发电有限责任公司,120.0,422,脱硫机组另加         15元/千千瓦时
,上海电力股份有限公司闵行电厂,82.0,412,脱硫机组另加         15元/千千瓦时
,上海电力股份有限公司吴泾热电厂,35.0,412,脱硫机组另加         15元/千千瓦时
,上海电力股份有限公司南市电厂,15.0,412,脱硫机组另加         15元/千千瓦时
,上海电力股份有限公司杨树浦电厂,14.0,412,脱硫机组另加         15元/千千瓦时
,上海电力股份有限公司杨树浦新机,22.0,412,脱硫机组另加         15元/千千瓦时
,上海星火热电有限公司,2.0,643,脱硫机组另加         15元/千千瓦时
,上海青浦工业园区热电有限公司,1.0,524,脱硫机组另加         15元/千千瓦时
,上海长兴岛第二发电厂,2.0,982,脱硫机组另加         15元/千千瓦时
