DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-Unit:piece(s)-Region-Region,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-Region-Region,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-CountiesNumbersofCounty-levelUnits-CountiesNumbersofCounty-levelUnits,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-市辖区DistrictsundertheJurisdictionofCities,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-CitiesatCountyLevel,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-County,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-TownsUnitsNumberNumbersofTowns-TownsUnitsNumberNumbersofTowns,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-StreetCommunities,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-Townships,DivisionsofAdministrativeAreas(Year-endof2023)-DivisionsofAdministrativeAreas(Year-endof2023)-(unit)-Towns
Region,Region,"Counties  
Numbers of County-level Units","市辖区  
Districts  
under the  
Jurisdiction  
of Cities","Cities at
County
Level",County,"Towns  
Units Number  

Numbers of  
Towns","Street
Communities",Townships,Towns
Region,Region,"Counties  
Numbers of County-level Units","市辖区  
Districts  
under the  
Jurisdiction  
of Cities","Cities at
County
Level",County,"Towns  
Units Number  

Numbers of  
Towns","Street
Communities",Townships,Towns
Region,Region,"Counties  
Numbers of County-level Units","市辖区  
Districts  
under the  
Jurisdiction  
of Cities","Cities at
County
Level",County,"Towns  
Units Number  

Numbers of  
Towns","Street
Communities",Townships,Towns
Region,Region,"Counties  
Numbers of County-level Units","市辖区  
Districts  
under the  
Jurisdiction  
of Cities","Cities at
County
Level",County,"Towns  
Units Number  

Numbers of  
Towns","Street
Communities",Townships,Towns
,,,,,,,,,
Whole Province,Total,136,58,26,52,1825,696,57,1072
Jinan City,Jinan,12,10,,2,161,132,,29
Qingdao City,Qingdao,10,7,3,,144,108,,36
Zibo City,Zibo,8,5,,3,88,31,,57
Zaozhuang City,Zaozhuang,6,5,1,,65,21,,44
Dongying City,Dongying,5,3,,2,40,15,2,23
Yantai City,Yantai,11,5,6,,153,65,6,82
Weifang City,Weifang,12,4,6,2,120,61,,59
Jining City,Jining,11,2,2,7,156,49,4,103
Taining City,Tai'an,6,2,2,2,88,20,6,62
Weihai City,Weihai,4,2,2,,72,24,,48
Rizhao City,Rizhao,4,2,,2,55,16,4,35
Linyi City,Linyi,12,3,,9,156,30,6,120
Dezhou City,Dezhou,11,2,2,7,134,29,14,91
Liaocheng City,Liaocheng,8,2,1,5,135,32,5,98
Binzhou City,Binzhou,7,2,1,4,91,29,4,58
Heze City,Heze,9,2,,7,167,34,6,127
