表2-4湖南省各民族分性别的15岁及以上文盲人口-民族别-民族别,15岁及以上人口-合计,15岁及以上人口-男,15岁及以上人口-女,文盲人口-合计,文盲人口-男,文盲人口-女,文盲率-合计,单位：人，%-文盲率-男,文盲率-女
总计,511341,257049,254292,43855,11419,32436,9,4,13
汉族,459787,231120,228667,36600,9427,27173,8,4,12
土家族,20917,10555,10362,3244,928,2316,16,9,22
苗族,13828,6854,6974,2021,519,1502,15,8,22
侗族,7399,3751,3648,804,211,593,11,6,16
瑶族,7319,3814,3505,958,273,685,13,7,20
回族,732,354,378,33,6,27,5,2,7
白族,364,173,191,58,20,38,16,12,20
东乡族,240,120,120,57,16,41,24,13,34
蒙古族,123,40,83,16,3,13,13,8,16
壮族,113,42,71,10,2,8,9,5,11
其他民族,519,226,293,54,14,40,10,6,17
