姓名-姓名,总量-总量,工装穿着-合格率,工牌佩戴-合格率,网络测速-合格率,测速结果-合格率,服务邀约-合格率,综合得分（100分）-综合得分（100分）
1,1,1,1,1,1,1,100
2,10,1,1,1,1,1,100
3,29,1,1,1,1,1,100
4,3,1,1,1,1,1,100
5,2,1,1,1,1,1,100
6,2,1,1,1,1,1,100
7,24,1,1,1,1,1,99
8,35,1,1,1,1,1,99
9,13,1,1,1,1,1,99
10,31,1,1,1,1,1,98
11,8,1,1,1,1,1,98
12,7,1,1,1,1,1,98
13,28,1,1,1,1,1,98
14,19,1,1,1,1,1,97
15,35,1,1,1,1,1,97
16,26,1,1,1,1,1,96
17,21,1,1,1,1,1,96
18,22,1,1,1,1,1,96
19,29,1,1,1,1,1,96
20,36,1,1,1,1,1,95
21,20,1,1,1,1,1,95
22,9,1,1,1,1,1,95
23,50,1,1,1,1,1,95
24,44,1,1,1,1,1,94
25,19,1,1,1,1,1,94
26,13,0,1,1,1,1,93
27,2,1,1,1,1,1,93
28,19,1,1,1,1,1,92
29,15,1,1,1,1,1,91
30,15,1,1,1,1,1,91
31,24,1,1,1,0,1,90
32,6,1,1,1,1,1,90
33,1,1,0,1,1,1,90
34,4,1,0,1,1,1,90
35,15,1,1,1,1,1,90
36,8,1,1,1,1,1,89
37,11,1,1,0,1,1,89
38,14,1,1,1,1,1,89
39,49,1,1,1,1,1,88
40,13,1,1,1,1,1,88
41,3,1,0,1,1,1,88
42,2,1,1,1,1,1,88
43,23,1,1,1,1,1,87
44,26,1,0,1,1,1,86
45,10,1,1,1,1,1,86
46,7,1,1,1,1,1,86
47,5,1,1,1,0,1,85
48,3,1,1,1,0,1,85
49,2,1,1,1,0,1,85
50,25,1,1,1,1,1,84
51,12,1,1,1,1,1,83
52,14,0,1,1,1,1,81
53,21,1,1,1,1,1,81
54,10,1,1,1,0,1,80
55,53,1,1,1,1,1,79
56,40,1,1,1,1,1,79
57,11,1,1,1,0,1,79
