表7-一般公共预算支出情况表-单位名称：盐田区机关事务管理局,表7-一般公共预算支出情况表-单位名称：盐田区机关事务管理局.1,表7-一般公共预算支出情况表-单位名称：盐田区机关事务管理局.2,表7-一般公共预算支出情况表-单位名称：盐田区机关事务管理局.3,表7-一般公共预算支出情况表-单位名称：盐田区机关事务管理局.4,表7-一般公共预算支出情况表-单位：万元
预算单位,科目编码,科目名称,支出总计,基本支出,项目支出
盐田区机关事务管理局,,,14891,10428,4463
盐田区机关事务管理局,,,14891,10428,4463
,201,一般公共服务支出,12916,8453,4463
,20103,政府办公厅（室）及相关机构事务,12916,8453,4463
,2010301,行政运行,8453,8453,
,2010302,一般行政管理事务,4433,,4433
,2010399,其他政府办公厅（室）及相关机构事务支出,30,,30
,208,社会保障和就业支出,844,844,
,20805,行政事业单位养老支出,844,844,
,2080501,行政单位离退休,398,398,
,2080505,机关事业单位基本养老保险缴费支出,298,298,
,2080506,机关事业单位职业年金缴费支出,149,149,
,210,卫生健康支出,133,133,
,21011,行政事业单位医疗,133,133,
,2101101,行政单位医疗,133,133,
,221,住房保障支出,998,998,
,22102,住房改革支出,998,998,
,2210201,住房公积金,403,403,
,2210203,购房补贴,595,595,
