山东省各市离休、退休保险福利费用(2023年)-SocialInsuranceandWelfareFundsforRetiredPersonsbyRegion(2023)-单位:万元-地区-地区-地区,山东省各市离休、退休保险福利费用(2023年)-SocialInsuranceandWelfareFundsforRetiredPersonsbyRegion(2023)-Region-Region-Region,山东省各市离休、退休保险福利费用(2023年)-SocialInsuranceandWelfareFundsforRetiredPersonsbyRegion(2023)-总计Total-总计Total-总计Total,山东省各市离休、退休保险福利费用(2023年)-SocialInsuranceandWelfareFundsforRetiredPersonsbyRegion(2023)-离休金PensionsforRetiredVeterans-离休金PensionsforRetiredVeterans-离休金PensionsforRetiredVeterans,山东省各市离休、退休保险福利费用(2023年)-SocialInsuranceandWelfareFundsforRetiredPersonsbyRegion(2023)-(10000yuan)-退休金PensionsforRetiredPersons-退休金PensionsforRetiredPersons-退休金PensionsforRetiredPersons
,,,,
全省总计,Total,38236176.0,83375.0,37122608.0
济 南 市,Jinan,3822464.0,10183.0,3702104.0
青 岛 市,Qingdao,5513561.0,14076.0,5309424.0
淄 博 市,Zibo,2267521.0,5472.0,2177129.0
枣 庄 市,Zaozhuang,1034676.0,2090.0,1028354.0
东 营 市,Dongying,396940.0,382.0,385464.0
烟 台 市,Yantai,3603179.0,6905.0,3481122.0
潍 坊 市,Weifang,2922870.0,5394.0,2832459.0
济 宁 市,Jining,2115386.0,4492.0,2050870.0
泰 安 市,Tai'an,1582260.0,2355.0,1536830.0
威 海 市,Weihai,1757897.0,1785.0,1684966.0
日 照 市,Rizhao,884958.0,979.0,853707.0
临 沂 市,Linyi,1955783.0,4697.0,1945694.0
德 州 市,Dezhou,1238640.0,2220.0,1195707.0
聊 城 市,Liaocheng,1199471.0,1850.0,1170603.0
滨 州 市,Binzhou,926181.0,1653.0,890782.0
菏 泽 市,Heze,1312718.0,1538.0,1311180.0
,,,,
,,,,
注：各市数据不包括省直管企业离退休费用。,,,,
a) Municipal data exclude the costs of retired and resigned persons in provincial enterprises.,,,,
