1-1-33全国按住户生产经营情况和劳动能力分的家庭户农业从业人员数量-名称,单位：人-合计,整劳动力,半劳动力,其中16-17岁
,,,,
合        计,341414555.0,283533695.0,57880860.0,4876655.0
一、按住户收入和经营兼业情况分,,,,
纯农户,306444545.0,254610426.0,51834119.0,4451353.0
农业兼业户,17601514.0,14903667.0,2697847.0,251272.0
非农业兼业户,17368496.0,14019602.0,3348894.0,174030.0
二、按农业生产经营户经营主要农业行业分,,,,
农作物种植业,315818022.0,261849843.0,53968179.0,4533010.0
林业,4039836.0,3365661.0,674175.0,57750.0
畜牧业,17876083.0,15031995.0,2844088.0,255035.0
渔业,2812875.0,2508975.0,303900.0,21709.0
农林牧渔服务业,867712.0,777199.0,90513.0,9150.0
未填写,27.0,22.0,5.0,1.0
