新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-序号,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-类别,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-规格,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-单位,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-数量,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-单价,新港街怡乐路垃圾投放站点改造制作与安装-地址：广州市海珠区新港街道怡乐路-合计
1.0,中转站-清拆,"长/宽/高
2300cm*130cm*280cm",原有结构体及装置拆除,组,1,2000,2000
2.0,中转站-平整及清洗地面墙面,多种,附着污物清理，盐酸清洗消杀,项,1,1200,1200
3.0,中转站-成品两侧投放箱房1（不含门）,"长/宽/高
520cm*130cm*460cm","材料：镀锌钢材、金属漆。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆。
安装方法：成品预留立脚，现场吊装，水泥浇灌固定预埋脚。",组,2,39760,79520
4.0,中转站-成品两侧投放箱房2（不含门）,"长/宽/高
445cm*130cm*360cm","材料：镀锌钢材、金属漆。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆。
安装方法：成品预留立脚，现场吊装，水泥浇灌固定预埋脚。",组,2,26800,53600
5.0,中转站-成品水吧服务箱房（不含门窗）,"长/宽/高
305cm*130cm*360cm","材料：镀锌钢材、金属漆。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆。
安装方法：成品预留立脚，现场吊装，水泥浇灌固定预埋脚。",组,1,32750,32750
6.0,中转站-定做进口亚克力轨道推拉门样式1,"长/高
104cm*220cm","材料：镀锌钢材、金属漆、进口彩色亚克力花窗、滑轨。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆，门外侧饰面贴色进口亚克力。
安装方法：现场安装轨道，调试推拉滑轨滑动规制。",扇,10,3185,31850
7.0,中转站-定做进口亚克力轨道推拉门样式2,"长/高
110cm*220cm","材料：镀锌钢材、金属漆、进口彩色亚克力花窗、滑轨。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆，门外侧饰面贴色进口亚克力。
安装方法：现场安装轨道，调试推拉滑轨滑动规制。",扇,8,3285,26280
8.0,中转站-定做进口亚克力门,"长/高
80cm*220cm","材料：镀锌钢材、金属漆、进口彩色亚克力花窗、滑轨。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆，门外侧饰面贴色进口亚克力。
安装方法：现场安装轨道，调试推拉滑轨滑动规制。",扇,1,2255,2255
9.0,中转站-定做进口亚克力窗,"长/高
130cm*70cm","材料：镀锌钢材、金属漆、进口彩色亚克力花窗、滑轨。
工艺：镀锌钢材结构立骨，封包0.7厚镀锌铁皮，面喷汽车漆，外侧饰面贴色进口亚克力。
安装方法：现场安装轨道，调试推拉滑轨滑动规制。",扇,3,2580,7740
10.0,中转站-水景循环系统,多种,"材料：pvc管道，循环水泵。
工艺：接驳管道制作水循环系统，定向流水水景。",项,1,6248,6248
