5-3-8各地区林业生产经营户参与耕地流转的户数和比重-地区,租出、包出过耕地的户-户数(户),比重(%),租入、包入、转入耕地的户-户数(户),比重(%).1,租入或租出耕地的户-户数(户),比重(%).2
,,,,,,
全国总计,1322251.0,32.0,125446.0,3.0,1439559.0,35.0
,,,,,,
北    京,5753.0,10.0,1122.0,2.0,6763.0,11.0
天    津,268.0,7.0,84.0,2.0,349.0,9.0
河    北,20338.0,10.0,2008.0,1.0,22302.0,11.0
山    西,6424.0,9.0,1000.0,1.0,7379.0,11.0
内 蒙 古,10115.0,25.0,922.0,2.0,10957.0,27.0
,,,,,,
辽    宁,5130.0,12.0,2146.0,5.0,7170.0,16.0
吉    林,2325.0,21.0,353.0,3.0,2661.0,24.0
黑 龙 江,2184.0,23.0,289.0,3.0,2449.0,25.0
,,,,,,
上    海,1221.0,28.0,190.0,4.0,1384.0,32.0
江    苏,11468.0,15.0,2156.0,3.0,13538.0,17.0
浙    江,274809.0,41.0,25306.0,4.0,297973.0,44.0
安    徽,56744.0,25.0,5088.0,2.0,61629.0,27.0
福    建,90513.0,42.0,15063.0,7.0,104299.0,49.0
江    西,38305.0,29.0,8821.0,7.0,46549.0,36.0
山    东,5496.0,5.0,2148.0,2.0,7601.0,7.0
,,,,,,
河    南,9486.0,11.0,3067.0,4.0,12504.0,14.0
湖    北,18248.0,26.0,3866.0,5.0,21978.0,31.0
湖    南,152913.0,48.0,12075.0,4.0,164528.0,52.0
广    东,38061.0,26.0,6498.0,4.0,44301.0,30.0
广    西,53911.0,20.0,10647.0,4.0,64267.0,24.0
海    南,3914.0,5.0,2236.0,3.0,6032.0,8.0
,,,,,,
重    庆,288119.0,60.0,4300.0,1.0,291859.0,60.0
四    川,111282.0,45.0,4609.0,2.0,115698.0,47.0
贵    州,61368.0,60.0,1089.0,1.0,62295.0,61.0
云    南,24075.0,14.0,5934.0,4.0,28984.0,17.0
西    藏,117.0,11.0,38.0,3.0,154.0,14.0
,,,,,,
陕    西,18927.0,12.0,2578.0,2.0,21449.0,14.0
甘    肃,3743.0,7.0,438.0,1.0,4172.0,8.0
青    海,1077.0,18.0,128.0,2.0,1204.0,20.0
宁    夏,4253.0,19.0,223.0,1.0,4470.0,20.0
新    疆,1664.0,7.0,1024.0,4.0,2661.0,12.0
