日期,安卓活跃,苹果活跃,苹果新增,Unnamed: 4,Unnamed: 5,日期.1,安卓活跃.1,苹果活跃.1,苹果新增.1
2022-01-01,6653,17479,1095,,,2024-07-01,4193.0,11802.0,836.0
2022-01-02,6122,17161,1120,,,2024-07-02,4029.0,11768.0,785.0
2022-01-03,5980,17191,1039,,,2024-07-03,3996.0,11900.0,787.0
2022-01-04,6099,17499,1082,,,2024-07-04,3893.0,11748.0,812.0
2022-01-05,5912,17213,1162,,,2024-07-05,3896.0,11709.0,838.0
2022-01-06,5923,17830,1183,,,2024-07-06,3872.0,11828.0,819.0
2022-01-07,6154,17605,1093,,,2024-07-07,3730.0,11893.0,831.0
2022-01-08,5472,16990,1189,,,2024-07-08,3964.0,12485.0,862.0
2022-01-09,5428,16659,1406,,,2024-07-09,3917.0,12220.0,826.0
2022-01-10,5216,15782,1292,,,2024-07-10,3906.0,12067.0,814.0
2022-01-11,5290,15065,1231,,,2024-07-11,3816.0,12284.0,863.0
2022-01-12,5426,15609,1159,,,2024-07-12,3724.0,11868.0,782.0
2022-01-13,5294,15315,1355,,,2024-07-13,3922.0,11963.0,793.0
2022-01-14,5600,16035,1420,,,2024-07-14,4021.0,12058.0,784.0
2022-01-15,5787,15111,1376,,,2024-07-15,4054.0,12109.0,819.0
2022-01-16,5918,15542,1351,,,2024-07-16,4093.0,12184.0,796.0
2022-01-17,6413,16262,1341,,,2024-07-17,4076.0,12236.0,888.0
2022-01-18,6087,15676,1423,,,2024-07-18,4234.0,11915.0,818.0
2022-01-19,5837,15694,1248,,,2024-07-19,4026.0,11688.0,807.0
2022-01-20,5587,16897,1415,,,2024-07-20,4026.0,11768.0,768.0
2022-01-21,6016,16706,1387,,,2024-07-21,3977.0,11793.0,853.0
2022-01-22,5925,16679,1477,,,2024-07-22,4118.0,11933.0,871.0
2022-01-23,5208,16273,1448,,,2024-07-23,4085.0,12050.0,876.0
2022-01-24,5867,16094,1235,,,2024-07-24,4010.0,12210.0,984.0
2022-01-25,5860,15332,1152,,,2024-07-25,0.0,0.0,0.0
2022-01-26,5544,16143,1237,,,,,,
2022-01-27,5737,15443,1220,,,,,,
2022-01-28,5847,16125,1346,,,,,,
2022-01-29,5855,16078,1435,,,,,,
2022-01-30,5905,15950,1437,,,,,,
2022-01-31,5551,16576,1636,,,,,,
2022-02-01,6984,17085,1472,,,,,,
2022-02-02,6171,17252,1442,,,,,,
2022-02-03,6309,16784,1514,,,,,,
2022-02-04,6031,17014,1561,,,,,,
2022-02-05,6183,15960,1401,,,,,,
2022-02-06,5307,15459,1303,,,,,,
2022-02-07,5244,15969,1251,,,,,,
2022-02-08,5796,16249,1286,,,,,,
2022-02-09,5494,15325,1226,,,,,,
2022-02-10,5596,16453,1241,,,,,,
2022-02-11,6003,16408,1541,,,,,,
2022-02-12,6240,16256,1470,,,,,,
2022-02-13,5427,14593,1324,,,,,,
2022-02-14,5817,16183,1682,,,,,,
2022-02-15,5913,16865,1524,,,,,,
2022-02-16,6083,17172,1578,,,,,,
2022-02-17,5925,17104,1671,,,,,,
2022-02-18,5869,17336,1670,,,,,,
2022-02-19,5571,17299,1910,,,,,,
2022-02-20,5199,17288,1761,,,,,,
2022-02-21,5466,17212,1510,,,,,,
2022-02-22,5890,17350,1497,,,,,,
2022-02-23,6189,17425,1602,,,,,,
2022-02-24,5911,17750,1502,,,,,,
2022-02-25,5743,17677,1674,,,,,,
2022-02-26,5808,17422,1863,,,,,,
2022-02-27,5447,17383,439,,,,,,
2022-02-28,5611,16714,1030,,,,,,
