时间,新增用户,1月后留存,2月后留存,3月后留存,4月后留存,5月后留存,6月后留存,7月后留存,8月后留存,9月后留存
2022/07/01~2022/07/31,117420,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/08/01~2022/08/31,80179,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/09/01~2022/09/30,58139,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/10/01~2022/10/31,44750,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/11/01~2022/11/30,39809,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022/12/01~2022/12/31,38271,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/01/01~2023/01/31,42947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/02/01~2023/02/28,32400,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/03/01~2023/03/31,41213,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/04/01~2023/04/30,44142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/05/01~2023/05/31,33492,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/06/01~2023/06/30,29459,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/07/01~2023/07/31,35262,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/08/01~2023/08/31,29217,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/09/01~2023/09/30,25429,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023/10/01~2023/10/31,21819,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2023/11/01~2023/11/30,22308,0,0.0,0.0,0.0,0.0,0.0,0.0,,
2023/12/01~2023/12/31,22716,0,0.0,0.0,0.0,0.0,0.0,,,
2024/01/01~2024/01/31,26808,0,0.0,0.0,0.0,0.0,,,,
2024/02/01~2024/02/29,24167,0,0.0,0.0,0.0,,,,,
2024/03/01~2024/03/31,32925,0,0.0,0.0,,,,,,
2024/04/01~2024/04/30,33899,0,0.0,,,,,,,
2024/05/01~2024/05/31,26355,0,,,,,,,,
