日期,新增用户,活跃用户,启动次数,新用户占比,次日留存率
45497,885,10899,102528,0,0
45496,1036,12143,127612,0,0
45495,1079,12135,123637,0,0
45494,1043,12448,126339,0,0
45493,942,11984,121232,0,0
45492,1012,12481,125431,0,0
45491,1099,12194,130962,0,0
45490,1062,12155,126188,0,0
45489,1022,12117,124950,0,0
45488,996,12061,125893,0,0
45487,1000,12433,130186,0,0
45486,1020,11796,121372,0,0
45485,1033,12378,122351,0,0
45484,1026,12052,135519,0,0
45483,1047,12062,134552,0,0
45482,1071,13145,136021,0,0
45481,1022,12143,127497,0,0
45480,1065,12298,125175,0,0
45479,1050,11701,123026,0,0
45478,1005,11793,120159,0,0
45477,981,12144,127288,0,0
45476,996,11873,126320,0,0
45475,998,12294,132418,0,0
45474,1048,11778,135179,0,0
45473,918,12302,135381,0,0
45472,977,11777,134361,0,0
45471,995,12046,131417,0,0
45470,1043,12775,135027,0,0
45469,1117,12473,127111,0,0
45468,1169,12913,131632,0,0
45467,1229,12680,130785,0,0
45466,1231,13064,133053,0,0
45465,1347,12690,128068,0,0
45464,1393,12865,134907,0,0
45463,1559,13212,134716,0,0
45462,1477,12645,129596,0,0
45461,1380,12232,125339,0,0
45460,1173,12187,122978,0,0
45459,846,10955,118480,0,0
45458,903,11549,116229,0,0
45457,828,11630,120886,0,0
45456,781,11327,120771,0,0
45455,859,11432,123286,0,0
45454,831,11854,121724,0,0
45453,720,11370,125546,0,0
45452,763,11492,119459,0,0
45451,885,11480,120868,0,0
45450,793,12282,123827,0,0
45449,776,11341,123339,0,0
45448,712,11457,126699,0,0
45447,770,11767,121511,0,0
45446,777,11652,122919,0,0
45445,839,11749,123134,0,0
45444,728,10875,112385,0,0
45443,789,11846,124691,0,0
45442,841,11879,129982,0,0
45441,850,11814,130543,0,0
45440,810,11892,135201,0,0
45439,956,11734,135367,0,0
45438,887,11794,125990,0,0
45437,920,11470,124593,0,0
45436,745,11886,131400,0,0
45435,789,11650,124404,0,0
45434,798,11927,126867,0,0
45433,844,11660,129181,0,0
45432,784,11413,125993,0,0
45431,761,11788,125765,0,0
45430,809,11460,118804,0,0
45429,891,11844,129033,0,0
45428,871,12259,134587,0,0
45427,867,11663,129180,0,0
45426,795,12052,124855,0,0
45425,786,11678,124137,0,0
45424,872,12382,126161,0,0
45423,917,11607,124843,0,0
45422,881,11990,127910,0,0
45421,841,11581,130854,0,0
45420,857,11961,129537,0,0
45419,784,11258,123589,0,0
45418,896,11690,125660,0,0
45417,884,11954,128170,0,0
45416,927,11552,126050,0,0
45415,941,12046,123115,0,0
45414,908,11553,126099,0,0
45413,854,11417,128482,0,0
45412,840,11979,132913,0,0
45411,792,11614,130778,0,0
45410,783,12558,131844,0,0
45409,869,11628,118453,0,0
45408,915,12315,124906,0,0
45407,885,11703,123144,0,0
45406,858,11913,122734,0,0
45405,887,11976,123188,0,0
45404,791,12062,124392,0,0
45403,995,12350,128311,0,0
45402,1001,12210,127390,0,0
45401,1050,13226,133494,0,0
45400,1071,12564,132640,0,0
45399,1279,13357,139849,0,0
45398,1415,13465,149857,0,0
45397,1611,13520,141738,0,0
45396,1623,13978,144063,0,0
45395,1564,13045,133098,0,0
45394,1479,12392,124232,0,0
45393,1223,12460,127616,0,0
45392,951,11492,115051,0,0
45391,1191,12697,131310,0,0
45390,1335,13329,136368,0,0
