表1-10c各地区家庭户的住房间数和面积（乡村）-地区别,表1-10c各地区家庭户的住房间数和面积（乡村）-家庭户户数(户),表1-10c各地区家庭户的住房间数和面积（乡村）-家庭户人数(人),表1-10c各地区家庭户的住房间数和面积（乡村）-平均每户住房间数(间/户),表1-10c各地区家庭户的住房间数和面积（乡村）-人均住房建筑面积(平方米/人),表1-10c各地区家庭户的住房间数和面积（乡村）-人均住房间数(间/人)
湖南省,123956,397014,4,35,1
长沙市,8239,28541,4,39,1
株洲市,6117,20188,5,47,1
湘潭市,5106,16739,4,41,1
衡阳市,12459,41367,4,36,1
邵阳市,14512,46487,3,33,1
岳阳市,8331,28188,4,32,1
常德市,12059,32323,3,42,1
张家界市,3693,11460,3,37,1
益阳市,7824,24058,4,36,1
郴州市,10573,34551,3,27,1
永州市,10913,34491,4,31,1
怀化市,11300,37127,3,33,1
娄底市,6642,21066,4,38,1
湘西土家族苗族自治州,6188,20428,3,29,1
