DetailedTable-DetailedTable-ProjectWorks(Items),DetailedTable-DetailedTable-Sub-item,DetailedTable-DetailedTable-TotalPriceBudget(Yuan),DetailedTable-DetailedTable-Quantity,DetailedTable-DetailedTable-UnitPrice,DetailedTable-DetailedTable-TotalActualPrice(Yuan),DetailedTable-DetailedTable-Paid,DetailedTable-DetailedTable-Outstandingpayment
25,64,117431.0,,,1000.0,200.0,800.0
Tiles,Bathroom Floor,625.0,8.0,78.0,1000.0,200.0,800.0
Tiles,Bathroom Wall,1406.0,18.0,78.0,0.0,,
Tiles,Kitchen floor,313.0,4.0,78.0,0.0,,
Tiles,Kitchen Wall,1406.0,18.0,78.0,0.0,,
Tiles,Balcony floor,781.0,10.0,78.0,0.0,,
Floor,Master bedroom,1980.0,18.0,110.0,0.0,,
Floor,small bedroom,1320.0,12.0,110.0,0.0,,
Door,Living room sliding door,3000.0,1.0,3000.0,0.0,,
Door,Main House Door,800.0,1.0,800.0,0.0,,
Door,Secondary Room Door,800.0,1.0,800.0,0.0,,
Door,Bathroom door,1200.0,1.0,1200.0,0.0,,
Door,Kitchen Door,1500.0,1.0,1500.0,0.0,,
Security Window Grille,Living Room Balcony,2000.0,1.0,2000.0,0.0,,
Security Window Grille,Master bedroom security window,1000.0,1.0,1000.0,0.0,,
Security Window Grille,Bedroom Security Window,800.0,1.0,800.0,0.0,,
Security Window Grille,Kitchen Security Window,500.0,1.0,500.0,0.0,,
Security Window Grille,Bathroom Security Window,200.0,1.0,200.0,0.0,,
Curtains,Living Room Balcony,1500.0,1.0,1500.0,0.0,,
Curtains,Master bedroom window,1000.0,1.0,1000.0,0.0,,
Curtains,Bedroom Window,600.0,1.0,600.0,0.0,,
Curtains,Window for hygiene purposes,200.0,1.0,200.0,0.0,,
Wallpaper,,2000.0,1.0,2000.0,,,
Gypsum line,,2000.0,1.0,2000.0,,,
Paint,,2000.0,1.0,2000.0,,,
Baseboard,,1000.0,1.0,1000.0,,,
Balcony Package,,2000.0,1.0,2000.0,0.0,,
Invisible security net,,0.0,0.0,0.0,0.0,,
Hardware,,1000.0,1.0,1000.0,0.0,,
Marble Windowsill,,1000.0,1.0,1000.0,0.0,,
Switch,,700.0,1.0,700.0,,,
Clothes rack,,1000.0,1.0,1000.0,0.0,,
Pipeline,,4000.0,1.0,4000.0,0.0,,
Living room,sofa,4000.0,1.0,4000.0,0.0,,
Living room,Coffee Table,1000.0,1.0,1000.0,0.0,,
Living room,TV cabinet,0.0,,,0.0,,
Living room,Dining table,3000.0,1.0,3000.0,0.0,,
Living room,"Floor Tiles (Living Room, Dining Room)",3500.0,1.0,3500.0,,,
Living room,Shoe Cabinet,0.0,,,0.0,,
Master bedroom,Bed,4000.0,1.0,4000.0,0.0,,
Master bedroom,wardrobe,0.0,,,0.0,,
Master bedroom,Bedside table,1000.0,1.0,1000.0,0.0,,
Master bedroom,Vanity Table,1500.0,1.0,1500.0,0.0,,
small bedroom,Bed,2000.0,1.0,2000.0,0.0,,
small bedroom,Bedside table,800.0,1.0,800.0,0.0,,
small bedroom,Desk,0.0,,,0.0,,
Bathroom,Bathroom Partition,0.0,,,0.0,,
Bathroom,Toilet bowl,1000.0,1.0,1000.0,0.0,,
Bathroom,Bathroom cabinet,1000.0,1.0,1000.0,0.0,,
Bathroom,Tap,200.0,1.0,200.0,0.0,,
Bathroom,wash basin,1000.0,1.0,1000.0,0.0,,
Bathroom,Mirror,200.0,1.0,200.0,0.0,,
Bathroom,hanger,300.0,1.0,300.0,0.0,,
Kitchen,Cabinets,2500.0,1.0,2500.0,0.0,,
Kitchen,Stove platform,500.0,1.0,500.0,0.0,,
Kitchen,Range hood,1500.0,1.0,1500.0,0.0,,
Kitchen,Sink,800.0,1.0,800.0,0.0,,
Kitchen,Countertop,2000.0,1.0,2000.0,,,
Kitchen,Tap,500.0,1.0,500.0,0.0,,
Home appliances,Air conditioning,4000.0,1.0,4000.0,0.0,,
Home appliances,Water heater,2000.0,1.0,2000.0,0.0,,
Home appliances,washing machine,3000.0,1.0,3000.0,0.0,,
Home appliances,Refrigerator,2000.0,1.0,2000.0,0.0,,
Home appliances,TV,3000.0,1.0,3000.0,0.0,,
Home appliances,Computer,0.0,1.0,,0.0,,
Home appliances,Water Dispenser,0.0,1.0,,0.0,,
Light,Living room light,1000.0,1.0,1000.0,0.0,,
Light,Main bedroom light,500.0,1.0,500.0,0.0,,
Light,Bedroom Light,300.0,1.0,300.0,0.0,,
Light,Bathroom Light,800.0,1.0,800.0,0.0,,
Light,Kitchen Light,200.0,1.0,200.0,0.0,,
Light,Dining table lamp,500.0,1.0,500.0,0.0,,
Light,Balcony Light,200.0,1.0,200.0,0.0,,
Cabinet (Summary),,20000.0,1.0,20000.0,,,
Labor Cost,Stonemason,8000.0,1.0,8000.0,,,
Labor Cost,Carpenter,,,,,,
Labor Cost,Laborer,,,,,,
Labor Cost,,,,,,,
Labor Cost,,,,,,,
Labor Cost,,,,,,,
Labor Cost,,,,,,,
Labor Cost,,,,,,,
