2016F4PublicRelationsActivityExpenseDetailsTable-Project,2016F4PublicRelationsActivityExpenseDetailsTable-Material,2016F4PublicRelationsActivityExpenseDetailsTable-Quantity,2016F4PublicRelationsActivityExpenseDetailsTable-UnitPrice,2016F4PublicRelationsActivityExpenseDetailsTable-Total(RMB),2016F4PublicRelationsActivityExpenseDetailsTable-Purpose,2016F4PublicRelationsActivityExpenseDetailsTable-Project.1,2016F4PublicRelationsActivityExpenseDetailsTable-Material.1,2016F4PublicRelationsActivityExpenseDetailsTable-Quantity.1,2016F4PublicRelationsActivityExpenseDetailsTable-UnitPrice.1,2016F4PublicRelationsActivityExpenseDetailsTable-Total(RMB).1,2016F4PublicRelationsActivityExpenseDetailsTable-Purpose.1
Promotional Materials,Venue Rental,1,7500,,"Used for exhibition setup, this cost includes construction fees.",Interactive gifts,tissue paper,600,2,,Interactive
Promotional Materials,Brochure,600,4,,For in-venue promotion use,Interactive gifts,keychain,1000,2,,Interactive
Promotional Materials,Flyers,5000,0,,Used during the event viewing,Interactive gifts,Rubik's Cube,200,4,,Interactive
Promotional Materials,Brand Flag,5,70,,"Watching the event, taking photos",Interactive gifts,USB drive,100,15,,Interactive
Promotional Materials,Uniforms,30,30,,Uniform attire,Interactive gifts,Business Card Box,200,6,,Interactive
Promotional Materials,Uniforms,30 ,30 ,,Uniform attire,Interactive gifts,Drinking water,600,1,,Interactive
Promotional Materials,Backdrop Vinyl Print,3,200,,Set up tents,Other,Promotion Expenses,1,8000,,Ground advertising and media advertising are used simultaneously.
Promotional Materials,Backdrop Vinyl Print,3 ,200 ,,Set up tents,Other,Shipping fee,5,100,,
Promotional Materials,Stanchion Banner,6,60,,Booth usage,Other,City transportation,3,300,,3-day round trip
,Total,Total,Total,Total,Total,Total,Total,Total,Total,31000 (Yuan),31000 (Yuan)
