Category,Product Name,Market Price,Double 12 Price,Discount Rate,Product Link,Recommendation Reason
Mobile phone,Lenovo S860 Smart Long Battery Life,1299.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,Honor 3C Play Edition,779.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,5-inch 8-core Zhonghuan X50TS,1499.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,ZTE N988,1299.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,Nubia Z5S Tri-Network,1899.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,ZTE S291,1999.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,DX Genuine Senior's Phone Special Offer with Free Shipping,180.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,Nebula H1c Hexa-core Dual 3G,828.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,HTC 619D Telecom Phone,899.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,Hisense HS-EG971,798.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,Lenovo S968t Ultra-thin Flagship,785.0,Surprise Price,Surprise Discount,Buy Now,Lowest price for popular new phones
Mobile phone,Sony Z3 Mini phone,3090.0,Surprise Price,Surprise Discount,Buy Now,"Global Prices, Globally Sourced"
Mobile phone,Authentic JiMi Senior's Phone with Free Shipping,200.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Meitu Phone M2 New Product with Vibrant Colors,2498.86,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Coolpad 5951 Telecom 3G Phone,699.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,ZTE V5 Max,1299.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,U558S Telecommunications Edition by YouSi,418.84,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Sony Z3 Phone,3690.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Huawei Honor Play 4X Full Network,1758.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,vivo Xplay3S,3335.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Quad-core HD large screen Smart standby king,1888.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Meizu MX4 Mobile China Unicom Dual 4G,2218.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
Mobile phone,Xiaomi 4 Mobile China Unicom China Telecom Version,2380.0,Surprise Price,Surprise Discount,Buy Now,Clearance Low Price Hot Sale
