1-2-7全国按乡村类型分的农业生产经营户年末拥有农业生产用房面积-名称,温室面积(公顷),大棚面积(公顷),农业生产用房面积(万平方米),畜牧养殖用房,渔业养殖用房
,,,,,
合        计,71077.0,433902.0,449459.0,300126.0,3311.0
一、按社区类型分,,,,,
村委会,67966.0,413422.0,436607.0,291091.0,3100.0
居委会,1806.0,15488.0,9177.0,6392.0,119.0
农场,823.0,2991.0,2460.0,1671.0,59.0
二、按地势分,,,,,
平原,52708.0,315977.0,181458.0,106466.0,1876.0
丘陵,11624.0,80146.0,148214.0,106138.0,1107.0
山区,6242.0,35338.0,118464.0,86474.0,293.0
三、按贫困村类型分,,,,,
非贫困村,61258.0,397013.0,360013.0,237784.0,2981.0
贫困村,9316.0,34448.0,88121.0,61292.0,294.0
省定贫困村,7647.0,21199.0,58518.0,40679.0,152.0
省以下定贫困村,1669.0,13248.0,29603.0,20613.0,142.0
四、按是否少数民族聚居村分,,,,,
是,12191.0,21749.0,61370.0,44005.0,147.0
否,58382.0,409712.0,386765.0,255072.0,3128.0
五、按所在乡镇类型分,,,,,
乡,20148.0,82917.0,138617.0,91780.0,446.0
镇,44928.0,304303.0,292388.0,195890.0,2423.0
街道,4819.0,42409.0,14912.0,10057.0,372.0
农场,1099.0,4150.0,3396.0,2277.0,69.0
六、按所在乡镇是否县政府驻地分,,,,,
是,9089.0,45570.0,30729.0,21303.0,215.0
否,61905.0,388208.0,418584.0,278700.0,3094.0
七、按所在乡镇是否民族乡镇分,,,,,
是,7418.0,14745.0,26218.0,18653.0,68.0
否,63576.0,419033.0,423095.0,281351.0,3242.0
八、按所在乡镇是否老区分,,,,,
是,8407.0,81568.0,95004.0,63974.0,650.0
否,62588.0,352210.0,354309.0,236030.0,2660.0
九、按所在乡镇是否边区分,,,,,
是,1306.0,5417.0,16824.0,12361.0,86.0
否,69688.0,428361.0,432488.0,287642.0,3224.0
十、无对应乡表的分组,82.0,124.0,147.0,123.0,1.0
十一、无对应村表的分组,482.0,2002.0,1216.0,973.0,33.0
