序号,商品分类,商品名称,sku名称,skuID,零售价,特价,库存,条形码,店内码,货道/货架,进货价格,我的售价,姐的售价,调价,满减价格
1,情趣内衣,【1】[蝴蝶丁字裤]日系可爱蝴蝶结内裤女性感裤骚火辣一片式一根线,【1】[蝴蝶丁字裤]日系可爱蝴蝶结内裤女性感裤骚火辣一片式一根线,1001015398,68.0,0.0,1,407876987,,1,5,38.0,20.0,21.0,27
2,情趣内衣,【2】[开档内裤]黑色开档蕾丝花边绑带蝴蝶结内裤免脱纯欲丁字裤女透明,【2】[开档内裤]黑色开档蕾丝花边绑带蝴蝶结内裤免脱纯欲丁字裤女透明,1001015399,68.0,0.0,2,228119706,,2,4,33.0,19.0,20.0,26
3,情趣内衣,【3】[裙摆丁字裤]一根线性感火辣免脱直入情趣内裤珍珠,【3】[裙摆丁字裤]一根线性感火辣免脱直入情趣内裤珍珠,1001015400,68.0,0.0,1,366358302,,3,5,45.0,14.0,16.0,27
4,情趣内衣,【4】[珍珠内裤] 黑色蕾丝丁字裤性感开档t型内裤情侣按摩入体情趣,【4】[珍珠内裤] 黑色蕾丝丁字裤性感开档t型内裤情侣按摩入体情趣,1001015401,78.0,0.0,2,191770089,,4,5,43.0,19.0,22.0,26
5,情趣内衣,【5】[系带三角裤]黑色低腰绑带蕾丝内裤性感网纱蝴蝶结开档三角裤 开门了呦来吗,【5】[系带三角裤]黑色低腰绑带蕾丝内裤性感网纱蝴蝶结开档三角裤 开门了呦来吗,1001015402,38.0,0.0,2,703269537,,5,4,28.0,19.0,16.0,25
6,情趣内衣,【6】[开档内裤]白色开档蕾丝花边绑带蝴蝶结内裤免脱纯欲丁字裤女透明,【6】[开档内裤]白色开档蕾丝花边绑带蝴蝶结内裤免脱纯欲丁字裤女透明,1001015403,48.0,0.0,0,379608586,,191,4,,29.0,,26
7,情趣内衣,【7】[性感绑带内裤]白色开档蕾丝蝴蝶结交叉三角内裤情趣内裤内衣,【7】[性感绑带内裤]白色开档蕾丝蝴蝶结交叉三角内裤情趣内裤内衣,1001015404,48.0,0.0,1,729036670,,192,4,30.0,29.0,30.0,26
8,情趣内衣,【8】[可爱兔尾]毛茸茸超可爱~情趣兔子毛球内裤猫咪狐狸尾巴丁字裤免脱T裤,【8】[可爱兔尾]毛茸茸超可爱~情趣兔子毛球内裤猫咪狐狸尾巴丁字裤免脱T裤,1001015405,48.0,0.0,1,636777512,,193,6,28.0,27.0,28.0,30
9,情趣内衣,【9】[系带三角裤]白色低腰绑带蕾丝内裤性感网纱蝴蝶结开档三角裤 开门了呦来吗,【9】[系带三角裤]白色低腰绑带蕾丝内裤性感网纱蝴蝶结开档三角裤 开门了呦来吗,1001015406,38.0,0.0,1,105200459,,194,4,30.0,29.0,30.0,25
10,情趣内衣,【10】[珍珠内裤] 白色蕾丝丁字裤性感开档t型内裤情侣按摩入体情趣,【10】[珍珠内裤] 白色蕾丝丁字裤性感开档t型内裤情侣按摩入体情趣,1001015409,42.0,0.0,1,115730359,,195,5,44.0,43.0,44.0,26
