收费汇总表-房产：,收费汇总表-房产：.1,收费汇总表-房产：.2,收费汇总表-计费周期：2024-01-01-2024-12-31,收费汇总表-计费周期：2024-01-01-2024-12-31.1,收费汇总表-计费周期：2024-01-01-2024-12-31.2,收费汇总表-缴费周期：-2024-07-19,收费汇总表-缴费周期：-2024-07-19.1,收费汇总表-缴费周期：-2024-07-19.2,收费汇总表-日结日期：-2024-07-19,收费汇总表-日结日期：-2024-07-19.1,收费汇总表-日结日期：-2024-07-19.2,收费汇总表,收费汇总表-打印时间：2024-07-1915:12:00,收费汇总表-打印时间：2024-07-1915:12:00.1,收费汇总表-打印时间：2024-07-1915:12:00.2
房产,应收金额,减免金额,考核减免金额,实际应收,已缴金额,已缴违约金,税额,不含税金额,收缴率,应缴户数,缴清户数,收缴率,未缴金额,历史欠费,累计欠费
桂林漓东中心36号项目->住宅,834210,1266,0,832944,369355,,20907,348448,44.34%,230,79,34.35%,463589,62600,526189
桂林漓东中心36号项目->商业区,1282599,1185,0,1281414,157490,,8915,148576,12.29%,315,71,22.54%,1123924,1340846,2464770
小计,2116809,2451,0,2114358,526846,0,29821,497024,24.92%,--,--,--,1587513,1403446,2990958
桂林山水凤凰城天屿组团项目->区域1,1299061,6201,5302,1287558,601708,,34059,567649,46.73%,474,156,32.91%,685850,238791,924642
桂林山水凤凰城天屿组团项目->区域2,1317902,95336,3385,1219181,501306,,28376,472930,41.12%,569,209,36.73%,717876,261609,979485
桂林山水凤凰城天屿组团项目->区域3,1183182,3942,0,1179240,510181,,28878,481303,43.26%,439,141,32.12%,669059,282852,951911
桂林山水凤凰城天屿组团项目->天屿区停车场,318263,0,0,318263,46669,,2642,44027,14.66%,662,74,11.18%,271594,768012,1039607
桂林山水凤凰城天屿组团项目->区域4,619866,1338,1820,616708,154806,,8763,146043,25.1%,469,125,26.65%,461903,337589,799492
小计,4738275,106816,10508,4620951,1814669,0,102717,1711952,39.27%,--,--,--,2806282,1888854,4695136
桂林山水凤凰城B区组团项目->区域11,1443742,4104,6159,1433479,460992,,26094,434898,32.16%,673,171,25.41%,972487,518290,1490777
桂林山水凤凰城B区组团项目->区域6,1941173,8108,2676,1930389,822816,,46575,776242,42.62%,869,305,35.1%,1107573,818042,1925615
桂林山水凤凰城B区组团项目->区域9,1436020,4419,20006,1411595,650315,,36810,613505,46.07%,683,258,37.77%,761280,423297,1184576
桂林山水凤凰城B区组团项目->区域8,1119538,2286,12366,1104886,368644,,20867,347778,33.36%,547,130,23.77%,736242,489448,1225690
桂林山水凤凰城B区组团项目->区域7,1284698,2615,5903,1276181,556465,,31498,524967,43.6%,554,185,33.39%,719716,661240,1380955
桂林山水凤凰城B区组团项目->桂林山水凤凰城,0,0,0,0,0,,0,0,0%,0,0,0%,0,0,0
桂林山水凤凰城B区组团项目->区域10,1594261,1646,87320,1505296,399665,,22623,377042,26.55%,738,141,19.11%,1105631,901379,2007010
桂林山水凤凰城B区组团项目->区域15,1085429,1261,108454,975714,289357,,16379,272978,29.66%,504,93,18.45%,686358,953222,1639580
桂林山水凤凰城B区组团项目->停车场,779280,0,0,779280,161540,,9144,152396,20.73%,1625,100,6.15%,617740,2310760,2928500
小计,10684140,24438,242883,10416819,3709793,0,209988,3499805,35.61%,--,--,--,6707026,7075678,13782704
桂林山水凤凰城别墅组团项目->区域12,1179331,0,0,1178101,505886,,28635,477251,42.94%,873,326,37.34%,672215,358042,1030257
桂林山水凤凰城别墅组团项目->区域5,932414,0,2290,930124,507663,,28736,478928,54.58%,403,189,46.9%,422461,351079,773540
桂林山水凤凰城别墅组团项目->区域14,851610,2876,6001,842733,472949,,26771,446179,56.12%,247,112,45.34%,369784,158110,527894
桂林山水凤凰城别墅组团项目->别墅区停车场,99360,0,0,99360,25020,,1416,23604,25.18%,276,40,14.49%,74340,126258,200598
桂林山水凤凰城别墅组团项目->外协单位,0,0,0,0,0,,0,0,0%,0,0,0%,0,0,0
桂林山水凤凰城别墅组团项目->停车场,54480,0,0,54480,21140,,1197,19943,38.8%,127,18,14.17%,33340,139800,173140
小计,3117195,2876,8290,3104798,1532659,0,86754,1445904,49.36%,--,--,--,1572140,1133289,2705428
桂林院子项目->区域1,752806,0,0,752806,296678,,16793,279885,39.41%,236,26,11.02%,456128,116572,572700
桂林院子项目->区域2,1404899,427902,0,976997,330417,,18703,311714,33.82%,287,40,13.94%,646580,209087,855667
小计,2157705,427902,0,1729803,627095,0,35496,591599,36.25%,--,--,--,1102708,325658,1428366
桂林山水凤凰城老园区项目->区域13,1243490,1105793,0,137697,42609,,2412,40198,30.94%,338,27,7.99%,95087,914868,1009955
小计,1243490,1105793,0,137697,42609,0,2412,40198,30.94%,--,--,--,95087,914868,1009955
总合计,24057614,1670276,261681,22124426,8253671,0,467189,7786482,37.31%,--,--,--,13870755,12741793,26612548
