3-B-9按登记注册类型、行业分住宿业法人单位损益状况,3-B-9按登记注册类型、行业分住宿业法人单位损益状况.1,3-B-9按登记注册类型、行业分住宿业法人单位损益状况.2,3-B-9按登记注册类型、行业分住宿业法人单位损益状况.3,3-B-9按登记注册类型、行业分住宿业法人单位损益状况.4
,,,,单位：万元
指标名称,主营业务收入,主营业务成本,主营业务,利润总额
指标名称,主营业务收入,主营业务成本,税金及附加,利润总额
,,,,
住宿业合计,15094196,4766585,829493,(483253)
1.按登记注册类型分,,,,
内资企业,11764582,3979115,664437,(410002)
国有企业,4426247,1440022,240366,(261526)
集体企业,925830,341552,54006,(26254)
股份合作企业,223018,80879,14264,(10530)
联营企业,195794,46932,10516,2361
国有联营企业,107950,25087,5800,3351
集体联营企业,19145,8542,1021,(707)
其他联营企业,49522,8169,2583,1199
其他联营企业,19177,5134,1112,(1481)
有限责任公司,2712694,820674,154332,(91518)
国有独资公司,246205,58575,12417,7873
其他有限责任公司,2466489,762099,141915,(99391)
股份有限公司,611306,176156,31134,(4239)
私营企业,2577583,1030792,154779,(13997)
私营独资企业,626051,309270,36676,29205
私营合伙企业,137336,65264,7753,4775
私营有限责任公司,1637693,589287,99975,(45392)
私营股份有限公司,176503,66971,10375,(2585)
其他企业,92111,42109,5041,(4299)
港、澳、台商投资企业,1970357,492192,94884,(30120)
合资经营企业(港或澳、台资),1343772,348553,62612,(20015)
合作经营企业(港或澳、台资),468151,98874,23782,4407
港、澳、台商独资经营企业,147809,42602,7976,(12395)
港、澳、台商投资股份有限公司,10625,2163,514,(2117)
外商投资企业,1359257,295278,70171,(43131)
中外合资经营企业,753332,147153,38711,(7761)
中外合作经营企业,327831,75253,16744,(17411)
外资企业,262216,67778,13834,(16999)
外商投资股份有限公司,15878,5095,883,(960)
2.按行业分,,,,
旅游饭店,12047364,3521984,656060,(434967)
一般旅馆,2699736,1109205,156530,(36918)
其他住宿服务,347095,135396,16903,(11368)
