7-1-43各地区农村常住户耐用品拥有量-地区,7-1-43各地区农村常住户耐用品拥有量-彩电(台),7-1-43各地区农村常住户耐用品拥有量-汽车(辆),7-1-43各地区农村常住户耐用品拥有量-摩托车(辆),7-1-43各地区农村常住户耐用品拥有量-固定电话(部),7-1-43各地区农村常住户耐用品拥有量-手机(部),7-1-43各地区农村常住户耐用品拥有量-电脑(台),7-1-43各地区农村常住户耐用品拥有量-用本户电脑上网的户数(户)
,,,"摩托车
(辆)","固定电话
(部)","手机
(部)","电脑
(台)","用本户电脑
上网的户数
(户)"
,,,,,,,
全国合计,192893147.0,7518878.0,84475641,114766491,154412868,4902448,3599080
北    京,1514185.0,175300.0,222541,1030428,1615716,227484,164858
天    津,1251634.0,125962.0,398977,795686,1059007,42327,27360
河    北,13569951.0,752588.0,6926139,8164931,10349120,212561,138339
山    西,5661459.0,342046.0,3094514,3462847,3607818,96850,69018
内 蒙 古,3077692.0,123597.0,1665472,1214714,2236243,23426,10855
辽    宁,6355604.0,198215.0,2328777,4692166,3472996,81665,52168
吉    林,3463169.0,83315.0,1399630,2027216,2954807,24880,14066
黑 龙 江,3991842.0,92002.0,1158048,2438428,2636291,39941,27489
上    海,1440242.0,76787.0,477777,797660,1372858,181023,134946
江    苏,14394858.0,624963.0,6482970,10836133,13258722,960959,743680
浙    江,10254233.0,658757.0,3631451,6433044,10199693,908959,788061
安    徽,10263231.0,277291.0,3905446,7374138,6999421,94267,49863
福    建,5451489.0,210230.0,3402211,4203298,6127395,267286,218973
江    西,5847870.0,148365.0,2834254,3134005,5234164,56539,30076
山    东,18495003.0,926496.0,10368379,13930245,13123335,368352,262916
河    南,16391691.0,499402.0,6804777,7138375,13546984,168508,100733
湖    北,7728716.0,173151.0,3263879,3735989,7049086,91498,60165
湖    南,9194069.0,263597.0,3414996,4872199,8038664,92468,55677
广    东,9570576.0,468072.0,7492458,7095842,10058430,614765,457077
广    西,6203053.0,131146.0,3563283,3175888,4830271,61955,38764
海    南,711523.0,16700.0,614360,300361,510948,3866,1949
重    庆,3935050.0,63408.0,458595,2170418,3297079,26204,16075
四    川,11424980.0,279802.0,2840320,5432895,8978120,79129,40705
贵    州,4194532.0,108734.0,584681,1581487,1970067,33129,17388
云    南,5808062.0,242460.0,1460554,1590360,3961830,43517,24169
西    藏,176114.0,19166.0,111139,69840,59709,282,65
陕    西,5645627.0,179436.0,2171096,3407339,4681115,59061,36815
甘    肃,3784327.0,107722.0,1616221,2022509,1593278,17708,7011
青    海,523297.0,28493.0,313198,286871,349153,3065,951
宁    夏,826410.0,37435.0,508596,430875,491071,5556,2429
新    疆,1742658.0,84240.0,960902,920304,749477,15218,6439
东部地区,76653694.0,4035855.0,40017263,53587628,67675224,3787582,2938159
中部地区,55087036.0,1703852.0,23317866,29717553,44476137,600130,365532
西部地区,47341802.0,1405639.0,16254057,22303500,33197413,368250,201666
东北地区,13810615.0,373532.0,4886455,9157810,9064094,146486,93723
