海南港航控股有限公司(合并)-项目-项目-项目,行次-行次-行次,财务分析-2024年累计完成数-2024年累计完成数,财务分析-2023年同期数-2023年同期数,财务分析-同比分析-金额,财务分析-同比分析-百分比,财务分析-同比分析-异动原因,预算分析-2024年预算数-2024年预算数,年度利润-预算分析-预算完成进度%-预算完成进度%,预算分析-2024年初分解目标-2024年初分解目标,预算分析-2024年初分解进度-2024年初分解进度,预算分析-偏差分析-金额,预算分析-偏差分析-百分比,预算分析-偏差分析-偏离原因,预算分析-全年预测数-全年预测数,预算分析-偏差分析-金额.1,预算分析-偏差分析-百分比.1,2024年6月-预算分析-偏差分析-偏离原因
栏次,--,1,2,3,4,5.0,6,7,8,9,10,11,12.0,13,14,15,16.0
一、吞吐量,1,4068,2028,2040,53,,11371,27,5900,52,(1832),(25),,11029,(342),(3),
（一）件杂货(万吨),2,606,510,96,26,,1120,54,512,46,95,8,,1120,0,0,
（二）轮渡(万吨),3,3462,1519,1943,62,,6516,38,3604,55,(142),(18),,6343,(173),(3),
（三）集装箱(万吨),4,,,,,,3735,0,1785,48,(1785),(48),,3566,(169),(5),
集装箱(万TEU),5,173,142,31,28,,313,40,151,48,22,(8),,337,24,8,
（四）进出口客流量,6,852,351,501,12,,1634,24,901,55,(49),(31),,1505,(129),(8),
1.出口客流(万人),7,455,219,236,(4),,819,26,474,58,(19),(32),,756,(62),(7),
2.进口客流(万人),8,397,132,265,40,,816,23,427,52,(30),(30),,749,(67),(8),
（五）进出口车流量,9,269,124,145,19,,499,29,283,57,(14),(27),,481,(18),(4),
1.出口车辆(万辆),10,139,74,65,3,,238,32,143,60,(4),(28),,234,(4),(2),
2.进口车辆(万辆),11,130,49,81,44,,261,27,141,54,(11),(27),,247,(14),(5),
二、营业总收入,12,296848,267872,28976,11,,595001,50,309965,52,(13116),(2),,546666,(48335),(8),
三、营业总成本,13,227173,199015,28158,14,,485829,47,230985,48,(3812),(1),,451575,(34254),(7),
其中：营业成本,14,172648,150118,22530,15,,357685,48,177162,49,(4514),(1),,332314,(25371),(7),
税金及附加,15,2111,1595,516,32,,5749,37,2779,48,(669),(12),,5234,(515),(11),
销售费用,16,711,953,(242),(25),,2213,32,936,42,(225),(10),,243,(1970),(89),
管理费用,17,46948,42167,4781,11,,105083,45,44160,42,2788,3,,102071,(3012),(3),
研发费用,18,93,501,(408),(81),,1229,8,458,37,(364),(30),,990,(239),(65),
财务费用,19,4662,3681,981,27,,13870,34,5490,40,(828),(6),,10723,(3147),(24),
其中：利息费用,20,6107,4945,1162,24,,14905,41,5914,40,194,1,,11704,(3201),(23),
利息收入,21,2042,2022,20,1,,3048,67,1486,49,557,19,,2627,(421),(11),
汇兑净损失（净收益以“-”号填列）,22,(18),(6),(12),200,,0,(36720),0,60,(18),(36780),,(6),(6),(100),
其他,23,,,,,,,,,,,,,0,0,,
加：其他收益,24,643,580,63,11,,4378,15,1752,40,(1109),(25),,4686,309,2,
投资收益（损失以“-”号填列）,25,15641,6075,9566,157,,1019,1535,115,11,15526,1523,,1091,72,(96),
公允价值变动收益（损失以“-”号填列）,26,0,0,0,,,,,,,0,,,0,0,,
信用减值损失（损失以“-”号填列）,27,(851),(867),16,(2),,(160),532,(260),163,(591),369,,(504),(344),215,
资产减值损失（损失以“-”号填列）,28,0,0,0,,,0,,0,,0,,,0,0,,
资产处置收益（损失以“-”号填列）,29,537,2066,(1530),(74),,0,,0,,537,,,538,538,,
四、营业利润（亏损以“-”号填列）,30,85644,76711,8934,12,,114409,75,80586,70,5058,4,,100903,(13505),(13),
加：营业外收入,31,466,49,417,854,,114,409,308,270,158,139,,526,412,360,
其中：政府补助,32,0,0,0,,,,,,,0,,,0,0,,
减：营业外支出,33,92,40,52,131,,423,22,39,9,52,12,,470,47,(62),
五、利润总额（亏损总额以“-”号填列）,34,86019,76720,9299,12,,114100,75,80855,71,5164,5,,100959,(13141),(12),
减：所得税费用,35,20672,18826,1846,10,,39510,52,21322,54,(650),(2),,36352,(3158),(9),
六、净利润（净亏损以“-”号填列）,36,65347,57894,7453,13,,74590,88,59533,80,5814,8,,64607,(9983),(14),
归属于母公司所有者的净利润,37,24635,28260,(3626),(13),,(17765),(139),6639,(40),17996,(98),,(15161),2605,(9),
*少数股东损益,38,48025,44534,3492,8,,92355,52,52705,57,(4680),(5),,83846,(8509),(9),
七、工资总额,39,61908,65767,(3858),(6),,114925,54,57928,50,3981,3,,114882,(44),(4),
八、年终奖,40,13355,15388,(2033),(13),,36211,37,16269,45,(2914),(8),,29870,(6341),(3),
其中：营业成本部分,41,7049,9011,(1962),(22),,8861,80,6492,73,557,7,,8979,118,(5),
管理费用部分,42,6256,6195,61,1,,27241,23,9707,36,(3451),(13),,20781,(6460),(3),
销售费用部分,43,,83,(83),(100),,0,0,0,,0,0,,0,0,,
研发费用部分,44,50,100,(50),(50),,110,45,70,91,(20),(45),,110,0,0,
