1-14按登记注册类型、学历分组的法人单位从业人员数-登记注册类型,法人单位数(个),从业人员数(人),具有研究生及以上学历人员,具有大学本科学历人员,具有大专学历人员,具有高中学历人员,具有初中及以下学历人员
,,,,,,,
总    计,7098765.0,271537187.0,3601268.0,31036245.0,47737629.0,85210107.0,103951938.0
内资企业,6912470.0,240356569.0,3169776.0,28331897.0,43826947.0,74578976.0,90448973.0
国有企业,1106291.0,63120633.0,1756602.0,15663357.0,18833065.0,16137813.0,10729796.0
集体企业,264959.0,10474507.0,49644.0,589871.0,1433036.0,3512166.0,4889790.0
股份合作企业,67013.0,2782936.0,21840.0,231035.0,465485.0,893259.0,1171317.0
联营企业,13545.0,654166.0,6962.0,58848.0,96774.0,215412.0,276170.0
国有联营企业,2336.0,167606.0,2492.0,22690.0,32071.0,60328.0,50025.0
集体联营企业,5389.0,203148.0,1363.0,11018.0,24629.0,67586.0,98552.0
国有与集体联营企业,1742.0,102098.0,819.0,8530.0,15185.0,33236.0,44328.0
其他联营企业,4078.0,181314.0,2288.0,16610.0,24889.0,54262.0,83265.0
有限责任公司,555366.0,45018024.0,428605.0,3676613.0,6760220.0,15162488.0,18990098.0
国有独资公司,10761.0,4579948.0,75739.0,534399.0,813436.0,1582963.0,1573411.0
其他有限责任公司,544605.0,40438076.0,352866.0,3142214.0,5946784.0,13579525.0,17416687.0
股份有限公司,98507.0,14729043.0,215564.0,1993497.0,2989688.0,5013487.0,4516807.0
私营企业,3671752.0,92686925.0,558602.0,5032355.0,11424768.0,29962003.0,45709197.0
私营独资企业,1367231.0,26407607.0,90917.0,756237.0,2329069.0,8637780.0,14593604.0
私营合伙企业,231025.0,5148828.0,39577.0,257560.0,501760.0,1580946.0,2768985.0
私营有限责任公司,1962311.0,56996256.0,393549.0,3750270.0,8031578.0,18373112.0,26447747.0
私营股份有限公司,111185.0,4134234.0,34559.0,268288.0,562361.0,1370165.0,1898861.0
其他企业,1135037.0,10890335.0,131957.0,1086321.0,1823911.0,3682348.0,4165798.0
港、澳、台商投资企业,84004.0,14474042.0,135628.0,937206.0,1602603.0,4760084.0,7038521.0
合资经营企业(港、澳、台资),22137.0,3834705.0,32313.0,275231.0,468701.0,1281652.0,1776808.0
合作经营企业(港、澳、台资),4171.0,594684.0,5424.0,41238.0,66775.0,189446.0,291801.0
港、澳、台商独资经营企业,55042.0,9570762.0,91504.0,560999.0,984138.0,3126165.0,4807956.0
港、澳、台商投资股份有限公司,2654.0,473891.0,6387.0,59738.0,82989.0,162821.0,161956.0
外商投资企业,102291.0,16706576.0,295864.0,1767142.0,2308079.0,5871047.0,6464444.0
中外合资经营企业,32611.0,5577192.0,81402.0,568919.0,826784.0,1907888.0,2192199.0
中外合作经营企业,3938.0,584180.0,8514.0,58614.0,84931.0,193429.0,238692.0
外资企业,62533.0,9822042.0,170381.0,1034982.0,1250467.0,3538017.0,3828195.0
外商投资股份有限公司,3209.0,723162.0,35567.0,104627.0,145897.0,231713.0,205358.0
