1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-名称-名称,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-合计-合计,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-在本村内-在本村内,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-村外乡内-村外乡内,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-乡外县内-乡外县内,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-县外(地)市内-县外(地)市内,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-市外省内-市外省内,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-外省-外省,1-1-28全国按住户人口特征和户籍所在地分的家庭户农业从业人员数量-单位：人-其他-其他
,,,,,,,,
合   计,342170157.0,337090143.0,1573875.0,1183319.0,546819.0,603611.0,1067249.0,105141.0
按住户居住时间分,,,,,,,,
1年以下,74191.0,21846.0,9232.0,8646.0,5263.0,9117.0,19978.0,109.0
1-5年,1933345.0,1044541.0,156117.0,152068.0,98209.0,172352.0,307260.0,2798.0
5年以上,340162614.0,336023749.0,1408526.0,1022605.0,443347.0,422142.0,740011.0,102234.0
按登记人数分,,,,,,,,
1人户,5846191.0,5723472.0,37755.0,33095.0,15811.0,11893.0,22750.0,1415.0
2人户,30075956.0,29202592.0,227498.0,196239.0,100996.0,123975.0,217020.0,7636.0
3人户,64566085.0,63318494.0,393859.0,289740.0,135276.0,143658.0,265374.0,19684.0
4人户,96962780.0,95752363.0,378731.0,269741.0,123266.0,143588.0,267680.0,27411.0
5人户,75530518.0,74632740.0,297827.0,218154.0,94899.0,98976.0,164343.0,23579.0
6人及以上,69188627.0,68460482.0,238205.0,176350.0,76571.0,81521.0,130082.0,25416.0
按住户户籍所在地分,,,,,,,,
本村户,339708240.0,337090143.0,777220.0,706433.0,294189.0,232358.0,520787.0,87110.0
村外乡内户,823239.0,,796655.0,12067.0,4638.0,3816.0,5585.0,478.0
乡外县内户,476705.0,,,464819.0,4041.0,3541.0,3947.0,357.0
县外(地)市内户,249531.0,,,,243951.0,2681.0,2629.0,270.0
市外省内户,364155.0,,,,,361215.0,2673.0,267.0
外省,531966.0,,,,,,531628.0,338.0
其他,16321.0,,,,,,,16321.0
按户籍性质分,,,,,,,,
农业户籍户,325489705.0,321908345.0,980818.0,690701.0,347989.0,496502.0,979261.0,86089.0
混合户,12305696.0,11290528.0,402186.0,343848.0,123785.0,77257.0,61806.0,6286.0
非农户籍户,4350173.0,3884610.0,189938.0,147199.0,74003.0,28057.0,24335.0,2031.0
户籍待定户,24583.0,6660.0,933.0,1571.0,1042.0,1795.0,1847.0,10735.0
按户主受教育程度分,,,,,,,,
文盲,22130047.0,21823551.0,85940.0,72251.0,35518.0,40118.0,59139.0,13530.0
小学,140342004.0,138442289.0,549299.0,425311.0,205378.0,244470.0,427658.0,47599.0
初中,158940065.0,156549793.0,749394.0,553740.0,253038.0,277725.0,517892.0,38483.0
高中,19904906.0,19491487.0,155851.0,111967.0,44851.0,37284.0,58469.0,4997.0
大学及以上,850719.0,780630.0,33385.0,20044.0,8031.0,4014.0,4083.0,532.0
