TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-Unit:%-Region-Region-Region-Region,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-Region-Region-Region-Region,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-2018-2018-2018-2018,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-2019-2019-2019-2019,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-2020-2020-2020-2020,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-2021-2021-2021-2021,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-2022-2022-2022-2022,TheGrowthRateofPrivateFixedAssetInvestmentinCitiesofShandongProvince-ThegrowthofNon-governmentInvestmentsinFixedAssetsbyRegion-(%)-2023-2023-2023-2023
,,,,,,,
Total of the Whole Province,Total,4.1,-18.0,6.9,8.2,1.3,3.1
Ji'nan City,Jinan,8.5,-10.9,3.9,24.9,-0.6,-21.8
Qingdao City,Qingdao,21.8,20.9,13.0,8.3,2.3,4.5
Zibo City,Zibo,15.8,-45.3,7.8,24.1,-2.6,13.0
Zaozhuang City,Zaozhuang,-21.3,-32.3,2.7,-2.2,9.1,6.7
Dongying City,Dongying,-9.6,-45.7,7.0,26.6,-9.8,13.4
Yantai City,Yantai,2.9,6.4,3.6,0.8,1.4,-0.6
Weifang City,Weifang,8.9,-31.8,11.8,12.7,10.1,-0.2
Jining City,Jining,2.6,-8.8,10.3,10.2,-14.5,3.7
Tai'an City,Tai'an,-6.4,-33.0,-4.1,-21.6,17.4,10.6
Weihai City,Weihai,7.1,-21.9,-5.9,8.9,-17.0,6.1
Rizhao City,Rizhao,-3.6,-13.7,26.6,6.1,-15.4,-1.7
Laiwu City,Laiwu,5.9,,,,,
Linyi City,Linyi,9.5,-36.9,8.3,17.2,3.6,11.1
Dezhou City,Dezhou,12.3,-18.8,-2.9,-15.6,13.1,16.4
Liaocheng City,Liaocheng,-5.7,-47.2,0.9,5.0,12.2,4.6
Binzhou City,Binzhou,-21.5,-29.9,7.2,10.7,5.6,11.5
Heze City,Heze,4.5,-5.2,15.5,6.5,19.9,9.5
