1-1-63全国按性别、年龄和受教育程度分的住户农林牧渔服务业劳动力数量-名称,单位：人-合计,未上学,小学,初中,高中,大专及以上
,,,,,,
合  计,1110322.0,42166.0,324939.0,611397.0,107932.0,23888.0
16-20岁,49060.0,423.0,6738.0,37268.0,4297.0,334.0
21-30岁,184797.0,1874.0,26408.0,125856.0,21938.0,8721.0
31-40岁,326706.0,5487.0,73355.0,210193.0,28757.0,8914.0
41-50岁,291504.0,9159.0,83779.0,156437.0,38239.0,3890.0
51-60岁,198805.0,14264.0,100659.0,69369.0,12863.0,1650.0
60岁以上,59450.0,10959.0,34000.0,12274.0,1838.0,379.0
男,721265.0,16651.0,187673.0,415770.0,83459.0,17712.0
16-20岁,26606.0,193.0,3138.0,20538.0,2555.0,182.0
21-30岁,108057.0,766.0,11626.0,75237.0,14786.0,5642.0
31-40岁,203731.0,1690.0,33918.0,139463.0,21928.0,6732.0
41-50岁,190084.0,2530.0,42372.0,111090.0,30823.0,3269.0
51-60岁,146179.0,5598.0,69117.0,58282.0,11652.0,1530.0
60岁以上,46608.0,5874.0,27502.0,11160.0,1715.0,357.0
女,389057.0,25515.0,137266.0,195627.0,24473.0,6176.0
16-20岁,22454.0,230.0,3600.0,16730.0,1742.0,152.0
21-30岁,76740.0,1108.0,14782.0,50619.0,7152.0,3079.0
31-40岁,122975.0,3797.0,39437.0,70730.0,6829.0,2182.0
41-50岁,101420.0,6629.0,41407.0,45347.0,7416.0,621.0
51-60岁,52626.0,8666.0,31542.0,11087.0,1211.0,120.0
60岁以上,12842.0,5085.0,6498.0,1114.0,123.0,22.0
