1-1-52全国按经营耕地规模和所在法人单位类型分的农业生产经营单位数-名称,单位：个-合计,多产业法人单位的产业活动单位,单产业法人单位,未注册单位
,,,,
,,,,
合    计,395180.0,161836.0,106381.0,126963.0
0亩,333343.0,139081.0,85844.0,108418.0
0.1-5亩,9374.0,4188.0,2017.0,3169.0
5.1-10亩,4542.0,1563.0,1373.0,1606.0
10.1-15亩,2303.0,788.0,788.0,727.0
15.1-20亩,2764.0,915.0,958.0,891.0
20.1-25亩,1208.0,445.0,423.0,340.0
25.1-30亩,2107.0,703.0,765.0,639.0
30.1-35亩,867.0,298.0,321.0,248.0
35.1-40亩,1432.0,454.0,542.0,436.0
40.1-45亩,713.0,265.0,252.0,196.0
45.1-50亩,1927.0,578.0,745.0,604.0
50.1-55亩,515.0,176.0,170.0,169.0
55.1-60亩,1286.0,397.0,487.0,402.0
60.1-65亩,445.0,150.0,158.0,137.0
65.1-70亩,843.0,263.0,324.0,256.0
70.1-75亩,424.0,164.0,132.0,128.0
75.1-80亩,1091.0,311.0,422.0,358.0
80.1-85亩,355.0,142.0,127.0,86.0
85.1-90亩,560.0,230.0,173.0,157.0
90.1-95亩,236.0,95.0,70.0,71.0
95.1-100亩,1676.0,514.0,697.0,465.0
100.1-150亩,4353.0,1447.0,1555.0,1351.0
150.1-200亩,3408.0,1188.0,1241.0,979.0
200.1-250亩,1855.0,656.0,665.0,534.0
250.1-300亩,2105.0,708.0,766.0,631.0
300.1-400亩,2457.0,755.0,878.0,824.0
400.1-500亩,1982.0,584.0,762.0,636.0
500.1-1000亩,4107.0,1339.0,1429.0,1339.0
1000.1-5000亩,4466.0,1846.0,1605.0,1015.0
5000亩以上,2436.0,1593.0,692.0,151.0
