School,College,MajorName,09AdmissionRatio-Numberofapplicants,AdmittedNumber,AdmissionRatio
Xinjiang Agricultural University,College of Agriculture,Zoology,35,11,0.314285714
Xinjiang Agricultural University,College of Agriculture,Biochemistry and Molecular Biology,31,11,0.35483871
Xinjiang Agricultural University,College of Agriculture,Crop Cultivation and Farming Science,28,10,0.357142857
Xinjiang Agricultural University,College of Agriculture,Crop Genetics and Breeding,34,18,0.529411765
Xinjiang Agricultural University,College of Agriculture,Plant Pathology,44,14,0.318181818
Xinjiang Agricultural University,College of Water Conservancy and Civil Engineering,Hydrology and Water Resources,32,10,0.3125
Xinjiang Agricultural University,College of Water Conservancy and Civil Engineering,Hydraulics and River Dynamics,16,9,0.5625
Xinjiang Agricultural University,College of Water Conservancy and Civil Engineering,Water Conservancy Structure Engineering,18,7,0.388888889
Xinjiang Agricultural University,College of Water Conservancy and Civil Engineering,Water Conservancy and Hydropower Engineering,43,18,0.418604651
Xinjiang Agricultural University,College of Water Conservancy and Civil Engineering,Agricultural Water and Soil Engineering,18,5,0.277777778
Xinjiang Agricultural University,Mechanical and Transportation College,Mechanical Design and Theory,16,4,0.25
Xinjiang Agricultural University,Mechanical and Transportation College,Transportation Vehicle Application Engineering,40,14,0.35
Xinjiang Agricultural University,Mechanical and Transportation College,Agricultural Mechanization Engineering,45,16,0.355555556
Xinjiang Agricultural University,College of Resources and Environment,Ecology,32,13,0.40625
Xinjiang Agricultural University,College of Resources and Environment,Environmental Science,25,9,0.36
Xinjiang Agricultural University,College of Resources and Environment,Soil Science,33,13,0.393939394
Xinjiang Agricultural University,Food Science College,Food Science,51,21,0.411764706
Xinjiang Agricultural University,Horticultural College,Horticultural Science,55,24,0.436363636
Xinjiang Agricultural University,Horticultural College,Vegetable Science,38,15,0.394736842
Xinjiang Agricultural University,College of Animal Science,Zoology,0,0,0.0
Xinjiang Agricultural University,College of Animal Science,"Animal Genetics, Breeding, and Reproduction",38,14,0.368421053
Xinjiang Agricultural University,College of Animal Science,Animal Nutrition and Feed Science,40,26,0.65
Xinjiang Agricultural University,Grassland Engineering College,Grassland Science,33,18,0.545454545
Xinjiang Agricultural University,College of Animal Medicine,Basic Veterinary Medicine,36,14,0.388888889
Xinjiang Agricultural University,College of Animal Medicine,Preventive Veterinary Medicine,45,24,0.533333333
Xinjiang Agricultural University,College of Animal Medicine,Clinical Veterinary Medicine,17,9,0.529411765
