1-1-64全国按九大农区分的农业生产经营户数量-名称,单位：户-合计,农作物种植业,林业,畜牧业,渔业,农林牧渔服务业
,,,,,,
合  计,199179124.0,183246905.0,4099919.0,9850036.0,1465528.0,511813.0
东北,12153008.0,10750582.0,59821.0,1235504.0,69683.0,37418.0
长城沿线,6239748.0,5519139.0,164734.0,548088.0,1643.0,6144.0
黄淮海,53520899.0,50446706.0,345665.0,2308676.0,209395.0,210457.0
黄土高原,14943752.0,14345803.0,241886.0,327685.0,5218.0,22973.0
长江中下游,51368212.0,46796606.0,1743776.0,2041183.0,638756.0,147891.0
西南,39454829.0,36489907.0,1047957.0,1820641.0,74213.0,17788.0
华南,16293632.0,14533068.0,454987.0,803439.0,462348.0,39790.0
甘新,4085336.0,3596966.0,29896.0,425089.0,4062.0,29147.0
青藏,1119708.0,768128.0,11197.0,339731.0,210.0,205.0
