ProductionPlanTable-ProductQuantity9-ProductQuantity9,ProductionPlanTable-ProductQuantity9-ProductQuantity9.1,ProductionPlanTable-Completed1-Completed1,ProductionPlanTable-Completed1-Completed1.1,ProductionPlanTable-InProduction    5-InProduction    5,ProductionPlanTable-InProduction    5-InProduction    5.1,ProductionPlanTable-InProduction    5-InProduction    5.2,ProductionPlanTable-OrderNumber-1235,ProductionPlanTable-OrderNumber-1235.1,ProductionPlanTable-OrderQuantity-1000,ProductionPlanTable-OrderQuantity-1000.1,ProductionPlanTable-OrderQuantity-1000.2,ProductionPlanTable-Produced-400,ProductionPlanTable-Progress-40%,ProductionPlanTable-DeliveryDate-22/5/21,ProductionPlanTable-DeliveryDate-22/5/21.1
"Customer
Name","Order
Number","Product  
Name",Specification,"Order
Quantity",Unit,"Production
Daily Production","Start
Date","Estimated  
Completion","Produced
Quantity",(Days),(Days),"Production  
Progress",Production Progress,"Remaining
Days","Responsible  
Person"
Rice Hull,123,Phone case,individual,2000,individual,500,5/11,5/16,2000,4.0,4.0,100%,May 20th,1,Mumu
Rice Hull,1235,Battery,individual,1000,individual,400,5/15,5/18,400,2.5,2.5,40%,May 21st,2,Mumu
Rice Hull,1236,Phone case,individual,800,individual,400,5/16,5/19,480,2.0,2.0,60%,May 21st,2,Mumu
Rice Hull,1237,Battery,individual,700,individual,300,5/17,5/20,360,2.3,2.3,51%,May 22nd,3,Mumu
Rice Hull,123,Phone case,individual,600,individual,230,5/18,5/2,300,2.6,2.6,50%,May 23rd,4,Mumu
Rice Hull,1239,Battery,individual,504,individual,200,5/19,5/22,150,25,25 ,30%,May 24th,5,Mumu
Rice Hull,1240,Phone case,individual,505,individual,150,5/20,5/24,,3.4,3.4,0%,May 25th,6,Mumu
Rice Hull,1241,Battery,individual,506,individual,150,5/21,5/25,,3.4,3.4,0%,May 26th,7,Mumu
Rice Hull,1242,Phone case,individual,507,individual,200,5/22,5/25,,2.5,2.5,0%,May 27th,8,Mumu
