担保方式,"总部
A年末结余","总部
A年全年净增","总部
b年5月底结余","总部
b年5月末全年净增","总部
b年5月末当月净增","我省
A年末结余",我省A年全年净增,我省b年5月底结余,我省b年5月末全年净增,我省b年5月末当月净增,辽宁A年末结余,辽宁A年全年净增,辽宁b年5月底结余,辽宁b年5月末全年净增,辽宁b年5月末当月净增,内蒙A年末结余,内蒙A年全年净增,内蒙b年5月底结余,内蒙b年5月末全年净增,内蒙b年5月末当月净增,黑龙江A年末结余,黑龙江A年全年净增,黑龙江b年5月底结余,黑龙江b年5月末全年净增,黑龙江b年5月末当月净增,山东A年末结余,山东A年全年净增,山东b年5月底结余,山东b年5月末全年净增,山东b年5月末当月净增,安徽A年末结余,安徽A年全年净增,安徽b年5月底结余,安徽b年5月末全年净增,安徽b年5月末当月净增,江苏A年末结余,江苏A年全年净增,江苏b年5月底结余,江苏b年5月末全年净增,江苏b年5月末当月净增
抵押,131,(35),118,(13),(3),0,(0),0,(0),0,2,(1),2,(0),(0),0,(0),0,(0),(0),1,(1),0,(0),(0),1,(1),1,(0),(0),6,(1),5,(0),(0),8,(5),7,(1),(0)
抵押,2152,(635),2019,(133),(26),37,(10),35,(2),(1),52,(11),48,(4),(1),10,(7),8,(2),(0),15,(7),12,(3),(1),66,(20),61,(5),(2),99,(23),93,(6),(1),228,(67),210,(18),(3)
大额信用,194,(27),194,(0),0,4,(3),4,0,(0),10,2,13,3,0,1,(1),1,(0),(0),8,(7),5,(3),(1),47,(3),38,(9),(2),12,(6),11,(1),(0),0,(0),0,0,0
农担,109,(210),77,(32),(6),0,(10),0,(0),(0),3,(3),1,(1),(0),0,(0),0,(0),(0),1,(31),0,(0),(0),4,(42),2,(2),(0),4,(3),3,(1),(0),7,(2),4,(3),(0)
大额信用,81,81,69,(13),(2),5,5,2,(2),(1),5,5,4,(0),(0),0,0,0,(0),(0),0,0,0,(0),(0),28,28,24,(4),(1),0,0,0,(0),0,0,0,0,0,0
农担,439,(39),393,(46),(5),20,8,19,(1),(1),7,(4),7,0,1,13,(1),14,1,0,35,28,27,(8),(2),50,(7),40,(9),1,33,(8),30,(3),(1),12,(17),10,(2),(0)
小额信用,169,(78),124,(44),(5),1,(3),1,(0),(0),7,(1),7,(0),(0),11,(5),10,(2),(0),36,(5),16,(20),(0),6,3,6,1,0,6,(5),4,(2),(0),0,(0),0,(0),0
再就业,636,(63),640,4,(3),10,0,10,(0),(0),47,4,55,9,0,5,(5),4,(1),(0),11,1,11,(0),(0),19,(13),16,(3),(1),61,5,63,2,0,5,(3),3,(2),(0)
大额信用,30,(10),27,(4),(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,(10),27,(4),(1)
大额信用,19,(8),17,(2),(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,(8),17,(2),(1)
小额信用,82,3,61,(21),(4),2,0,2,(0),(0),0,(0),0,(0),0,0,0,0,0,0,2,(1),0,(2),(0),0,(0),0,0,0,0,0,0,0,0,7,(7),5,(2),(0)
小额信用,1952,944,2379,426,21,47,26,69,22,(1),50,13,60,9,0,73,30,92,19,0,72,16,113,41,(2),208,117,245,37,2,153,77,191,38,2,174,102,216,43,4
抵押,5480,1482,5866,386,4,11,3,11,(0),(0),41,15,49,8,(0),30,4,30,(0),(0),18,(2),15,(2),(1),362,98,380,18,(1),228,64,240,12,(1),629,159,681,52,1
小额信用,22,(104),11,(11),(1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
抵押,343,(61),316,(27),(7),2,(1),2,(0),(0),4,1,4,(0),(0),2,(1),2,(0),(0),2,(1),2,(0),(0),41,(11),38,(3),(1),18,(5),16,(2),(0),13,(6),11,(2),(0)
小额信用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小额信用,593,241,601,7,(14),11,4,12,1,(0),19,8,16,(2),(1),26,8,28,2,(0),53,44,108,54,0,51,13,42,(9),(3),26,10,24,(2),(1),10,(1),8,(2),(0)
小额信用,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,3,3,1,0,0,3,3,2,0,0,3,3,2
农担,8,6,14,7,(0),3,3,9,7,(0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,(0),(0)
农担,93,82,153,60,6,10,8,15,5,(1),2,2,2,0,(0),0,0,1,1,0,23,18,24,1,(2),3,3,9,7,2,0,0,1,1,0,2,2,3,1,1
小额信用,24,(8),16,(8),(1),1,0,0,(0),(0),3,0,3,(1),(0),0,(0),0,(0),(0),0,(0),0,(0),(0),0,(0),0,(0),(0),0,(0),0,(0),(0),0,(0),0,(0),(0)
大额信用,1144,1028,1834,690,120,7,7,20,13,(1),60,48,81,21,0,20,17,33,13,0,50,45,81,31,(4),92,79,197,106,14,61,59,88,27,6,161,145,235,74,10
抵押,63,29,59,(4),(1),0,(0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,(0),0,(0),(0),0,0,0,0,0,0,0,0,0,0,7,5,6,(0),(0)
抵押,21,(10),17,(3),(1),2,(1),2,(0),(0),1,(0),0,(0),(0),0,0,0,0,0,0,(0),0,(0),(0),0,(0),0,(0),(0),1,(1),1,(0),(0),3,(2),2,(0),(0)
抵押,6,(4),5,(1),(0),1,(1),1,(0),(0),0,(0),0,(0),(0),0,0,0,(0),(0),0,(0),0,(0),(0),0,(0),0,(0),(0),0,(0),0,(0),(0),1,(0),1,(0),(0)
总体数据,13860,2573,15119,1259,94,176,35,218,42,(7),312,76,353,42,(0),193,37,226,33,(0),330,94,417,88,(11),979,242,1104,125,8,709,163,774,65,4,1321,283,1455,135,10
