8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-单位：万元-项目,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-Item,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-(10000yuan)-2018,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-(10000yuan)-2019,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-(10000yuan)-2020,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-(10000yuan)-2021,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-(10000yuan)-2022,8-1地方一般公共预算收入-LocalGeneralPublicBudgetRevenue-(10000yuan)-2023
,,,,,,,
地方一般公共预算收入合计,Local General Public Budget Revenue,39110092.0,40708260.0,42608928.0,47731545.0,48805453.0,55290870.0
税收收入,Taxes Revenue,28197650.0,28887420.0,29671996.0,33348635.0,31514290.0,37008961.0
增值税,Value-added Tax,11209546.0,11263255.0,11039954.0,12007099.0,9204555.0,14044605.0
营业税,Business Tax,55405.0,,,,,
企业所得税,Corporate Income Tax,4157932.0,4724352.0,5232526.0,5965298.0,6043806.0,6297820.0
个人所得税,Individual Income Tax,1785881.0,1262967.0,1358443.0,1628893.0,1733371.0,1855585.0
资源税,Resource Tax,525197.0,633124.0,735863.0,830555.0,891527.0,923206.0
城市维护建设税,"Urban Maintenance and
    Construction Tax",1749815.0,1803428.0,1813863.0,2070301.0,2010116.0,2132342.0
房产税,Real Estate Tax,1067767.0,1118559.0,1124752.0,1432857.0,1527766.0,1654012.0
印花税,Stamp Tax,464113.0,480288.0,561244.0,703415.0,752267.0,812068.0
城镇土地使用税,Urban Land Using Tax,816622.0,791758.0,780766.0,928201.0,1074997.0,994779.0
土地增值税,Value-added Tax on Land,2155195.0,2441022.0,2443754.0,2835949.0,3485503.0,3439305.0
车船税,Travel Tax,382152.0,405684.0,434717.0,464688.0,467643.0,469876.0
耕地占用税,"Tax on the Occupancy of
   Cultivated Land",891121.0,906742.0,911933.0,715407.0,1077316.0,970922.0
契税,Tax on Contracts,2809876.0,2892367.0,3087980.0,3584188.0,3063681.0,3229173.0
烟叶税,Tobacco Tax,78483.0,81629.0,77102.0,98910.0,97398.0,116178.0
环境保护税,Environmental Protection Tax,48545.0,60596.0,58561.0,68064.0,59303.0,55803.0
其他收入,Other Incomes,,21649.0,10538.0,14810.0,25041.0,13287.0
非税收入,Non-Tax Revenue,10912442.0,11820840.0,12936932.0,14382910.0,17291163.0,18281909.0
专项收入,Special Revenue,2551749.0,2445761.0,2435527.0,2743118.0,2597015.0,2596243.0
行政事业性收费收入,Income from Administrative Fees,1716961.0,1612018.0,1932422.0,1869101.0,1908282.0,1842527.0
罚没收入,Penalty and Confiscatory Income,843950.0,1034114.0,1298239.0,1869748.0,2260412.0,1833021.0
国有资本经营收入,State-owned Capital  Operating Income,279041.0,615789.0,654232.0,811446.0,957720.0,665718.0
"国有资源(资产)有偿
        使用收入","Income from State-owned Assets
   Compensation",3994898.0,4442287.0,4810848.0,5325535.0,7591571.0,9473181.0
捐赠收入,Donation Income,133357.0,155756.0,177580.0,204231.0,213793.0,229136.0
政府住房基金收入,Government Housing Fund Income,303496.0,408560.0,428354.0,502026.0,637299.0,677911.0
其他收入,Other Incomes,1088990.0,1106555.0,1199730.0,1057705.0,1125071.0,964172.0
,,,,,,,
,,,,,,,
注：地方一般公共预算收入和支出情况由四川省财政厅提供。,,,,,,,
a) Local general public budget revenue and expenditure are provided by Sichuan Provincial Department of Finance.,,,,,,,
