Table1-10Numberofroomsandareaofhousingforhouseholdsindifferentregions-Region,Table1-10Numberofroomsandareaofhousingforhouseholdsindifferentregions-Numberoffamilyhouseholds(households),Table1-10Numberofroomsandareaofhousingforhouseholdsindifferentregions-Numberoffamilyhouseholdmembers(persons),Table1-10Numberofroomsandareaofhousingforhouseholdsindifferentregions-Averagenumberofroomsperhousehold(rooms/household),Table1-10Numberofroomsandareaofhousingforhouseholdsindifferentregions-Percapitafloorareaofhousing(squaremeters/person),Table1-10Numberofroomsandareaofhousingforhouseholdsindifferentregions-Numberofhousingroomsperperson(rooms/person)
Hunan Province,197575,620812,3,34,1
Changsha City,19181,60577,4,35,1
Zhuzhou City,10993,35610,4,43,1
Xiangtan City,9911,30799,4,37,1
Hengyang City,20616,66906,3,35,1
Shaoyang City,21048,66675,3,32,1
Yueyang City,14910,48646,4,34,1
Changde City,18844,51365,3,40,1
Zhangjiajie City,4727,14864,3,38,1
Yiyang City,13034,40252,4,35,1
Chenzhou City,15554,49359,3,28,1
Yongzhou City,14680,46463,4,32,1
Huaihua City,14476,46442,3,31,1
Loudi City,11640,36430,3,34,1
Xiangxi Tujia and Miao Autonomous Prefecture,7961,26424,3,30,1
