6-4“规模以上”工业主要经济指标-（2021年）-项目,6-4“规模以上”工业主要经济指标-（2021年）-企业单位数（个）,6-4“规模以上”工业主要经济指标-（2021年）-资产总计,6-4“规模以上”工业主要经济指标-（2021年）-营业收入,6-4“规模以上”工业主要经济指标-（2021年）-其中：主营业务收入,6-4“规模以上”工业主要经济指标-（2021年）-营业成本,6-4“规模以上”工业主要经济指标-（2021年）-利润总额,6-4“规模以上”工业主要经济指标-单位:万元-年平均用工人数(人)
合    计,2854.0,91471532.0,119385435.0,116031346.0,101970948.0,8522851,695662.0
#亏损企业,321.0,11770812.0,6744275.0,6472613.0,6424963.0,(460208),54297.0
国有控股企业,98.0,31274861.0,15862899.0,15530478.0,13272231.0,1097906,54012.0
一、按轻重工业分,,,,,,,
轻工业,1605.0,26955774.0,59011983.0,57438597.0,50797874.0,4118818,401108.0
重工业,1249.0,64515758.0,60373452.0,58592749.0,51173074.0,4404033,294554.0
二、按企业规模分,,,,,,,
大型企业,110.0,39761739.0,46227812.0,45552598.0,39824994.0,3196131,239365.0
中型企业,383.0,23577576.0,34513180.0,34016701.0,29022652.0,2742921,213264.0
小型企业,2058.0,26057993.0,36390266.0,35652616.0,31115647.0,2469991,220234.0
微型企业,303.0,2074224.0,2254178.0,809431.0,2007655.0,113809,22799.0
三、按登记注册类型分,,,,,,,
内资企业,2378.0,71962081.0,90374560.0,88004528.0,76791629.0,6691643,487920.0
国有企业,2.0,338620.0,126301.0,124740.0,122554.0,991,1024.0
集体企业,9.0,64712.0,827800.0,826121.0,732725.0,47660,5976.0
股份合作企业,2.0,12933.0,99458.0,99458.0,85096.0,4658,1247.0
联营企业,3.0,69518.0,160354.0,160354.0,124917.0,18508,248.0
有限责任公司,129.0,27891171.0,16257591.0,15805541.0,13903580.0,1228617,51211.0
国有独资公司,18.0,4673554.0,3631715.0,3615297.0,3437446.0,48428,9154.0
其他有限责任公司,111.0,23217616.0,12625876.0,12190244.0,10466134.0,1180189,42057.0
股份有限公司,14.0,3565401.0,2740091.0,2610812.0,2220068.0,7439,15489.0
私营企业,2219.0,40019726.0,70162965.0,68377503.0,59602688.0,5383771,412725.0
私营独资企业,8.0,37800.0,194688.0,194688.0,130513.0,8102,1051.0
私营合作企业,4.0,26052.0,43560.0,20199.0,33272.0,4945,411.0
私营有限责任公司,2133.0,32481525.0,63100793.0,61427333.0,53856390.0,4734724,379946.0
私营股份有限公司,74.0,7474349.0,6823925.0,6735283.0,5582514.0,636000,31317.0
港、澳、台商投资企业,239.0,9995826.0,16964333.0,16484453.0,14782528.0,1003826,118236.0
合资经营企业(港或澳、台资),75.0,4280376.0,5346847.0,5303795.0,4296445.0,592992,34404.0
港澳台商独资经营企业,151.0,4140267.0,8748076.0,8356530.0,7988705.0,263101,76706.0
港澳台商投资股份有限公司,10.0,1558576.0,2836384.0,2791410.0,2470768.0,146638,6431.0
外商投资企业,237.0,9513626.0,12046542.0,11542365.0,10396790.0,827382,89506.0
中外合资经营企业,59.0,2738649.0,4848849.0,4704082.0,4174870.0,438421,27923.0
中外合作经营企业,3.0,53222.0,78131.0,75828.0,69294.0,3822,446.0
外资企业,169.0,4662846.0,6588830.0,6254128.0,5729174.0,320739,58291.0
外商投资股份有限公司,6.0,2058909.0,530733.0,508327.0,423453.0,64399,2846.0
四、按经济组织类型分,,,,,,,
独资企业,339.0,9244246.0,16485695.0,15756207.0,14703671.0,640593,143048.0
合作、合伙企业,15.0,178331.0,414528.0,388557.0,339188.0,33026,3047.0
股份有限公司,104.0,14657235.0,12931133.0,12645831.0,10696803.0,854477,56083.0
有限责任公司,2396.0,67391721.0,89554080.0,87240751.0,76231286.0,6994755,493484.0
