ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-Structure-Location-Date-Date,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-U/8AxisEighteenthFloorColumn-U/8AxisEighteenthFloorColumn-Dailyaverage-Temperature℃,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-U/8AxisEighteenthFloorColumn-U/8AxisEighteenthFloorColumn-Cumulative-℃.d,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-U/8AxisEighteenthFloorColumn-U/8AxisEighteenthFloorColumn-Date-Date,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-Strength-Grade-Dailyaverage-Temperature℃,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-Strength-Grade-Cumulative-℃.d,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-C40-C40-Cumulative-℃.d,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-Formed-Date-Date-Date,"ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-June22,2013-June22,2013-Dailyaverage-Temperature℃","June22,2013-June22,2013-Cumulative-℃.d"
2013/6/23,28,28,July 13th,32,613,613 ,,,
2013/6/24,27,55,,,,,,,
2013/6/25,26,81,,,,,,,
2013/6/26,27,108,,,,,,,
2013/6/27,25,133,,,,,,,
2013/6/28,26,159,,,,,,,
2013/6/29,25,184,,,,,,,
2013/6/30,27,211,,,,,,,
2013/7/1,32,242,,,,,,,
2013/7/2,32,274,,,,,,,
2013/7/3,32,305,,,,,,,
2013/7/4,33,338,,,,,,,
2013/7/5,29,367,,,,,,,
2013/7/6,28,394,,,,,,,
2013/7/7,30,424,,,,,,,
2013/7/8,32,455,,·,,,,,
2013/7/9,32,487,,,,,,,
2013/7/10,31,518,,,,,,,
2013/7/11,32,549,,,,,,,
2013/7/12,32,581,,,,,,,
Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:
"1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing."
"2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted."
,,,,,,,,,
Recorder:           Witness:                Witnessing Organization (Seal),,,,,,,),,
