ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-Structure-Location-Date-Date,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-11-12/F-GAxisSecondFloorBeamSlab11-12/P-QAxisSecondFloorBeamSlab-11-12/F-GAxisSecondFloorBeamSlab11-12/P-QAxisSecondFloorBeamSlab-Dailyaverage-Temperature℃,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-11-12/F-GAxisSecondFloorBeamSlab11-12/P-QAxisSecondFloorBeamSlab-11-12/F-GAxisSecondFloorBeamSlab11-12/P-QAxisSecondFloorBeamSlab-Cumulative-℃.d,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-11-12/F-GAxisSecondFloorBeamSlab11-12/P-QAxisSecondFloorBeamSlab-11-12/F-GAxisSecondFloorBeamSlab11-12/P-QAxisSecondFloorBeamSlab-Date-Date,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-Strength-Grade-Dailyaverage-Temperature℃,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-Strength-Grade-Cumulative-℃.d,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-ProjectName:ExpansionandReconstructionProjectoftheNorthCampusofWuhanCentralHospital-C35C40-C35C40-Cumulative-℃.d,ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-Formed-Date-Date-Date,"ConcreteSame-ConditionCuringSpecimenTemperatureRecordSheet-June20,2013-June20,2013-Dailyaverage-Temperature℃","June20,2013-June20,2013-Cumulative-℃.d"
2013/6/21,31,31,July 11th,32,610,610 ,,,
2013/6/22,30,61,,,,,,,
2013/6/23,28,89,,,,,,,
2013/6/24,27,116,,,,,,,
2013/6/25,26,142,,,,,,,
2013/6/26,27,169,,,,,,,
2013/6/27,25,194,,,,,,,
2013/6/28,26,219,,,,,,,
2013/6/29,25,244,,,,,,,
2013/6/30,27,271,,,,,,,
2013/7/1,32,303,,,,,,,
2013/7/2,32,334,,,,,,,
2013/7/3,32,366,,,,,,,
2013/7/4,33,398,,,,,,,
2013/7/5,29,427,,,,,,,
2013/7/6,28,455,,·,,,,,
2013/7/7,30,484,,,,,,,
2013/7/8,32,516,,,,,,,
2013/7/9,32,547,,,,,,,
2013/7/10,31,578,,,,,,,
Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:,Notes:
"1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing.","1. The age of concrete specimens under the same curing conditions is accumulated day by day based on the daily average temperature until it reaches 600℃·d, after which they are submitted for testing."
"2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted.","2. The age of concrete specimens under the same curing conditions should not be less than 14d, nor greater than 60d. The age at 0℃ or below should not be counted."
,,,,,,,,,
Recorder:           Witness:                Witnessing Organization (Seal),,,,,,,),,
