NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-Unit:piece(s)-OrganizationStatus,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-OrganizationStatus,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2015,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2016,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2017,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2018,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2019,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2020,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-2021,NumberofCorporateUnitsbyOrganizationStatusinShandongProvince-NumberofCorporateUnitsbyStatusofOrganization-(unit)-2022
,,,,,,,,,
Total,Total,1269917.0,1652065.0,2014790.0,1801301.0,2309350.0,2842426.0,3261425.0,3546905.0
Enterprise,Enterprises,1048470.0,1344176.0,1675975.0,1547260.0,1982468.0,2483474.0,2928948.0,3202941.0
Public Institution,Institutions,40919.0,44903.0,48350.0,50681.0,47378.0,47480.0,39744.0,40425.0
Organizational Unit,Agencies & Organizations,12411.0,12826.0,12304.0,12465.0,12213.0,12417.0,10835.0,11087.0
Social Organizations,Social Groups,15919.0,18819.0,20929.0,13337.0,17384.0,18876.0,14015.0,16478.0
Private Non-enterprise Units,Private Non-enterprise Units,16098.0,19740.0,24624.0,28723.0,34781.0,39907.0,34220.0,40781.0
Foundation,Foundation,81.0,99.0,115.0,116.0,153.0,185.0,195.0,239.0
Resident Committee,Neighborhood Committee,7507.0,7323.0,7048.0,7307.0,7463.0,7424.0,6905.0,6924.0
Village Committee,Village Committee,73947.0,73909.0,73453.0,71411.0,73870.0,73589.0,67156.0,65294.0
Farmers' Professional Cooperatives,Professional Farmers,,110936.0,136031.0,58750.0,122477.0,148883.0,151584.0,154682.0
,Cooperatives,,,,,,,,
Other Organizations,Others,54565.0,19334.0,15961.0,11251.0,11163.0,10191.0,7823.0,8054.0
