表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-地区别-地区别,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-家庭户户数-家庭户户数,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-住房用途-生活用房,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-住房用途-兼作生产经营用房,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-住房用途-无住房,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-建筑层数-平房,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-建筑层数-6层以下楼房,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-建筑层数-7层以上楼房,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-本座住宅建筑结构-钢筋混凝土结构,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-本座住宅建筑结构-混合结构,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-本座住宅建筑结构-砖木结构,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-本座住宅建筑结构-木、竹、草结构,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-本座住宅建筑结构-其他结构,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-单位：户-是否有其他合住户-是,表11-3各地区按住房用途、建筑层数、住宅结构及是否合住分的家庭户户数-单位：户-是否有其他合住户-否
湖南省,197575,190364,6099,1112,87331,102974,6158,39087,66223,68760,19976,2417,18272,178191
长沙市,19181,18230,849,102,4686,12109,2284,2958,11306,4538,78,199,1786,17293
株洲市,10993,10425,539,29,2724,7511,729,2870,4241,3185,235,433,807,10157
湘潭市,9911,9642,208,61,2325,7291,234,4341,2816,2626,46,21,744,9106
衡阳市,20616,20041,400,175,7095,12330,1016,3054,10773,6377,172,65,883,19558
邵阳市,21048,20533,385,130,10533,10121,264,4303,5083,9404,2039,89,3034,17884
岳阳市,14910,14010,849,51,5721,8932,206,2969,6220,5369,263,38,1082,13777
常德市,18844,18127,664,53,9522,9081,188,5214,4642,7871,923,141,1023,17768
张家界市,4727,4396,314,17,3246,1423,41,303,1075,2239,1046,47,170,4540
益阳市,13034,12379,530,125,5916,6977,16,1899,4685,5101,1105,119,1596,11313
郴州市,15554,15119,353,82,7018,8171,283,4207,3406,6969,86,804,1080,14392
永州市,14680,14266,281,133,9734,4666,147,2637,5545,5306,868,191,1315,13232
怀化市,14476,14211,198,67,9272,5034,103,1363,1699,3005,8312,30,1993,12416
娄底市,11640,11328,263,49,3505,7708,378,1740,3981,4966,877,27,1684,9907
湘西土家族苗族自治州,7961,7657,266,38,6034,1620,269,1229,751,1804,3926,213,1075,6848
