山东省按行业分法人单位数-NumberofCorporateUnitsbySector-单位:个,山东省按行业分法人单位数-NumberofCorporateUnitsbySector,山东省按行业分法人单位数-NumberofCorporateUnitsbySector.1,山东省按行业分法人单位数-NumberofCorporateUnitsbySector.2,山东省按行业分法人单位数-NumberofCorporateUnitsbySector.3,山东省按行业分法人单位数-NumberofCorporateUnitsbySector-(unit)
行    业,Sector,2019.0,2020.0,2021.0,2022.0
,,,,,
总  计,Total,2309350.0,2842426.0,3261425.0,3546905.0
农、林、牧、渔业,"Agriculture,Forestry,Animal Husbandry and Fishing",125306.0,160524.0,176239.0,186582.0
采矿业,Mining,2558.0,2795.0,2759.0,2817.0
制造业,Manufacturing,354724.0,416009.0,454353.0,473971.0
电力、燃气及水的生产和供应业,Production and Supply of Electric Power and  Heat Power,6939.0,7884.0,9284.0,10700.0
建筑业,Construction,185126.0,245179.0,299765.0,337283.0
批发和零售业,Wholesale and Retail Trade,728791.0,906404.0,1063075.0,1168922.0
交通运输、仓储和邮政业,"Traffic,Transport,Storage and Post",66140.0,82583.0,94666.0,101311.0
住宿和餐饮业,Hotels and Catering Services,34177.0,41439.0,49281.0,54539.0
信息传输、软件和信息技术服务业,"Information Transfer, Software and Information
  Technology Services",81022.0,105443.0,130317.0,146362.0
金融业,Financial Intermediation,8144.0,9842.0,11655.0,13055.0
房地产业,Real Estate,62011.0,73834.0,84202.0,87970.0
租赁和商务服务业,Leasing and Business Services,232003.0,297319.0,356897.0,391014.0
科学研究和技术服务业,Scientific Research and Technical Service,119160.0,153680.0,188504.0,214342.0
水利、环境和公共设施管理业,"Management of Water Conservancy,Environment
   and Public Facilities",14663.0,20713.0,26329.0,29965.0
居民服务、修理和其他服务业,"Households Services, Repair and Other Services",39141.0,47685.0,54892.0,58525.0
教  育,Education,52077.0,63276.0,65006.0,68579.0
卫生和社会工作,Health and Social Work,20243.0,22428.0,20417.0,23184.0
文化、体育和娱乐业,"Culture,Sports and Entertainment",43350.0,50216.0,55878.0,58476.0
公共管理、社会保障和社会组织,"Public management,Social Security and Social Organization",133775.0,135173.0,117906.0,119308.0
国际组织,International Organization,,,0.0,0.0
