1-12按地区、学历分组的法人单位从业人员数-地区,法人单位数(个),从业人员数(人),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,"具有研究
生及以上
学历人员","具有大学
本    科
学历人员","具有大专
学历人员","具有高中
学历人员","具有初中
及 以 下
学历人员"
,,,,,,,
全    国,7098765.0,271537187.0,3601268,31036245,47737629,85210107,103951938
,,,,,,,
北  京,267869.0,7938702.0,446821,1884943,1616635,2181070,1809233
天  津,145411.0,4410393.0,83722,642737,768816,1300406,1614712
河  北,278581.0,11049947.0,94978,1189226,1976079,3456309,4333355
山  西,160748.0,6647248.0,56948,790395,1314058,2023002,2462845
内蒙古,113568.0,4335440.0,45538,652038,1005501,1386002,1246361
,,,,,,,
辽  宁,315408.0,10307797.0,207654,1455795,2073577,2841781,3728990
吉  林,124427.0,4714335.0,88627,759737,1004147,1544896,1316928
黑龙江,150273.0,6441358.0,112566,959320,1343613,2177775,1848084
,,,,,,,
上  海,360466.0,10412240.0,248409,1444429,1693819,2907130,4118453
江  苏,630836.0,27087242.0,237113,2274396,3867975,8884350,11823408
浙  江,560177.0,20790477.0,132347,1608482,2490552,5601827,10957269
安  徽,205275.0,8331974.0,84015,866274,1489930,2559231,3332524
福  建,232603.0,9539333.0,71492,863602,1311719,2686565,4605955
江  西,147815.0,6155166.0,153778,598762,1051430,2001851,2349345
山  东,603846.0,23902656.0,203197,2504830,3935984,8098583,9160062
,,,,,,,
河  南,351074.0,14904203.0,137187,1485263,2827793,5088140,5365820
湖  北,293352.0,9637009.0,168984,1259096,1953076,3483805,2772048
湖  南,258434.0,9294830.0,98337,1089198,1849725,3098937,3158633
广  东,617659.0,30993946.0,364731,2844071,4649586,10549494,12586064
广  西,154748.0,4885707.0,63970,622096,1097648,1568832,1533161
海  南,29411.0,1162145.0,13987,152274,221789,369095,405000
,,,,,,,
重  庆,139074.0,5640513.0,62439,641527,985785,1745167,2205595
四  川,310270.0,11077015.0,136903,1328620,2177991,3320289,4113212
贵  州,94296.0,3025165.0,23554,424628,742548,729919,1104516
云  南,122667.0,4506052.0,48049,620586,954175,1139994,1743248
西  藏,15324.0,322627.0,3171,40796,62170,61297,155193
,,,,,,,
陕  西,178971.0,5991175.0,109745,834006,1352146,1972957,1722321
甘  肃,94361.0,3222270.0,44034,434023,717952,1048511,977750
青  海,24394.0,779915.0,10311,118975,186523,230352,233754
宁  夏,29312.0,887349.0,13885,145336,200147,256638,271343
新  疆,88115.0,3142958.0,34776,500784,814740,895902,896756
