表9-8湖南省分年龄、性别、受教育程度的老年人口-年龄别-年龄别,表9-8湖南省分年龄、性别、受教育程度的老年人口-60岁及以上人口-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-60岁及以上人口-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-60岁及以上人口-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-未上过学-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-未上过学-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-未上过学-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-小学-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-小学-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-小学-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-初中-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-初中-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-初中-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-高中-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-高中-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-高中-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-大学专科-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-大学专科-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-大学专科-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-大学本科-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-大学本科-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-大学本科-女,表9-8湖南省分年龄、性别、受教育程度的老年人口-单位：人-研究生及以上-小计,表9-8湖南省分年龄、性别、受教育程度的老年人口-单位：人-研究生及以上-男,表9-8湖南省分年龄、性别、受教育程度的老年人口-单位：人-研究生及以上-女
总计,89137,44712,44425,32796,8708,24088,41532,25123,16409,9942,7224,2718,3238.0,2365.0,873.0,1010.0,781.0,229.0,608.0,500.0,108.0,11.0,11.0,0.0
60-64,25435,13463,11972,4724,1116,3608,13989,7616,6373,4758,3307,1451,1403.0,1009.0,394.0,384.0,276.0,108.0,176.0,138.0,38.0,1.0,1.0,0.0
60,5264,2729,2535,806,188,618,2978,1527,1451,1083,732,351,283.0,198.0,85.0,77.0,53.0,24.0,36.0,30.0,6.0,1.0,1.0,0.0
61,5399,2871,2528,923,206,717,2996,1609,1387,1110,784,326,289.0,210.0,79.0,57.0,41.0,16.0,24.0,21.0,3.0,,,
62,5010,2624,2386,915,203,712,2761,1489,1272,929,636,293,288.0,206.0,82.0,87.0,66.0,21.0,30.0,24.0,6.0,,,
63,4743,2518,2225,942,244,698,2558,1400,1158,832,584,248,283.0,201.0,82.0,87.0,60.0,27.0,41.0,29.0,12.0,,,
64,5019,2721,2298,1138,275,863,2696,1591,1105,804,571,233,260.0,194.0,66.0,76.0,56.0,20.0,45.0,34.0,11.0,,,
65-69,23941,12433,11508,7504,1983,5521,12312,7474,4838,2604,1861,743,926.0,647.0,279.0,331.0,251.0,80.0,257.0,210.0,47.0,7.0,7.0,0.0
65,5124,2628,2496,1354,341,1013,2712,1565,1147,665,442,223,275.0,191.0,84.0,66.0,47.0,19.0,52.0,42.0,10.0,,,
66,4315,2221,2094,1211,297,914,2287,1359,928,538,373,165,173.0,110.0,63.0,57.0,42.0,15.0,48.0,39.0,9.0,1.0,1.0,0.0
67,5309,2786,2523,1679,446,1233,2736,1688,1048,547,399,148,202.0,138.0,64.0,85.0,67.0,18.0,59.0,47.0,12.0,1.0,1.0,0.0
68,4849,2496,2353,1683,458,1225,2454,1494,960,462,346,116,129.0,105.0,24.0,70.0,48.0,22.0,48.0,42.0,6.0,3.0,3.0,0.0
69,4344,2302,2042,1577,441,1136,2123,1368,755,392,301,91,147.0,103.0,44.0,53.0,47.0,6.0,50.0,40.0,10.0,2.0,2.0,0.0
70-74,18639,9435,9204,8244,2300,5944,8102,5307,2795,1497,1179,318,517.0,404.0,113.0,179.0,158.0,21.0,99.0,86.0,13.0,1.0,1.0,0.0
70,4322,2233,2089,1748,520,1228,1958,1228,730,396,311,85,144.0,103.0,41.0,40.0,36.0,4.0,36.0,35.0,1.0,,,
71,3757,1901,1856,1590,428,1162,1686,1093,593,308,246,62,108.0,83.0,25.0,40.0,34.0,6.0,25.0,17.0,8.0,,,
72,4099,2089,2010,1821,507,1314,1803,1197,606,308,237,71,104.0,92.0,12.0,47.0,41.0,6.0,16.0,15.0,1.0,,,
73,3350,1667,1683,1575,428,1147,1392,935,457,256,202,54,83.0,62.0,21.0,30.0,28.0,2.0,14.0,12.0,2.0,,,
74,3111,1545,1566,1510,417,1093,1263,854,409,229,183,46,78.0,64.0,14.0,22.0,19.0,3.0,8.0,7.0,1.0,1.0,1.0,0.0
75-79,12050,5651,6399,6426,1737,4689,4494,2978,1516,748,609,139,254.0,215.0,39.0,77.0,66.0,11.0,50.0,45.0,5.0,1.0,1.0,0.0
75,3155,1515,1640,1561,384,1177,1246,842,404,242,194,48,63.0,57.0,6.0,26.0,22.0,4.0,16.0,15.0,1.0,1.0,1.0,0.0
76,2446,1154,1292,1283,336,947,910,604,306,160,134,26,60.0,50.0,10.0,21.0,18.0,3.0,12.0,12.0,0.0,,,
77,2468,1131,1337,1356,385,971,897,573,324,139,109,30,58.0,48.0,10.0,11.0,10.0,1.0,7.0,6.0,1.0,,,
78,2283,1061,1222,1259,364,895,833,544,289,130,104,26,42.0,36.0,6.0,8.0,5.0,3.0,11.0,8.0,3.0,,,
79,1698,790,908,967,268,699,608,415,193,77,68,9,31.0,24.0,7.0,11.0,11.0,0.0,4.0,4.0,0.0,,,
80-84,6222,2700,3522,3842,1072,2770,1968,1301,667,255,210,45,103.0,74.0,29.0,33.0,24.0,9.0,21.0,19.0,2.0,,,
80,1694,762,932,1020,298,722,547,366,181,77,62,15,33.0,26.0,7.0,12.0,7.0,5.0,5.0,3.0,2.0,,,
81,1406,654,752,838,253,585,483,335,148,52,41,11,17.0,11.0,6.0,11.0,9.0,2.0,5.0,5.0,0.0,,,
82,1196,520,676,733,202,531,386,256,130,51,43,8,21.0,14.0,7.0,1.0,1.0,0.0,4.0,4.0,0.0,,,
83,1032,418,614,646,165,481,320,201,119,41,34,7,17.0,11.0,6.0,6.0,5.0,1.0,2.0,2.0,0.0,,,
84,894,346,548,605,154,451,232,143,89,34,30,4,15.0,12.0,3.0,3.0,2.0,1.0,5.0,5.0,0.0,,,
85-89,2114,795,1319,1499,385,1114,518,345,173,60,45,15,28.0,13.0,15.0,6.0,6.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0
85,662,265,397,429,116,313,196,126,70,20,14,6,13.0,6.0,7.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
86,477,176,301,352,88,264,105,74,31,13,9,4,5.0,3.0,2.0,2.0,2.0,0.0,,,,,,
87,397,151,246,283,71,212,91,64,27,17,13,4,4.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,,,
88,339,118,221,260,64,196,69,47,22,5,5,0,4.0,1.0,3.0,1.0,1.0,0.0,,,,,,
89,239,85,154,175,46,129,57,34,23,5,4,1,2.0,1.0,1.0,,,,,,,,,
90-94,640,214,426,475,103,372,138,94,44,18,13,5,6.0,2.0,4.0,,,,3.0,2.0,1.0,,,
90,216,61,155,161,26,135,48,30,18,4,3,1,1.0,0.0,1.0,,,,2.0,2.0,0.0,,,
91,174,64,110,124,31,93,43,28,15,7,5,2,,,,,,,,,,,,
92,102,31,71,76,16,60,22,14,8,1,0,1,3.0,1.0,2.0,,,,,,,,,
93,84,34,50,63,18,45,16,14,2,3,2,1,1.0,0.0,1.0,,,,1.0,0.0,1.0,,,
