OperationalDataAnalysisReport,OperationalDataAnalysisReport.1,OperationalDataAnalysisReport.2,OperationalDataAnalysisReport.3,OperationalDataAnalysisReport.4,OperationalDataAnalysisReport.5,OperationalDataAnalysisReport.6,OperationalDataAnalysisReport.7,OperationalDataAnalysisReport.8,OperationalDataAnalysisReport.9
2022.0,7.0,Daily Sales Total,"Daily Sales
Ratio",Tmall,Tmall,Tmall,JD.com,JD.com,JD.com
2022.0,7.0,Daily Sales Total,"Daily Sales
Ratio",Sales Revenue,Shop Daily Sales Ratio,Daily Total Sales Ratio,Sales Revenue,Shop Daily Sales Ratio,Daily Total Sales Ratio
,,,,30651,,,55240,,
,,,,29028,,,56256,,
,,,,15681,,,13000,,
,,,,14686,,,35472,,
,,,,22951,,,15950,,
,,,,19471,,,13425,,
,,,,61743,,,44620,,
,,,,5689,,,47280,,
,,,,30651,,,55240,,
,,,,29028,,,56256,,
,,,,15681,,,13000,,
,,,,14686,,,35472,,
,,,,22951,,,15950,,
,,,,19471,,,13425,,
,,,,61743,,,44620,,
,,,,5689,,,47280,,
,,,,30651,,,55240,,
,,,,29028,,,56256,,
,,,,15681,,,13000,,
,,,,14686,,,35472,,
