ProductSalesDataRecordStatisticalAnalysisTable-MonthlySalesAmountTotalandProportionAnalysis-MonthlySalesAmountTotalandProportionAnalysis-November,ProductSalesDataRecordStatisticalAnalysisTable-MonthlySalesAmountTotalandProportionAnalysis-MonthlySalesAmountTotalandProportionAnalysis-DailyRatio,ProductSalesDataRecordStatisticalAnalysisTable-MonthlySalesAmountTotalandProportionAnalysis-MonthlySalesAmountTotalandProportionAnalysis-DailyTotal,ProductSalesDataRecordStatisticalAnalysisTable-Product1,ProductSalesDataRecordStatisticalAnalysisTable-Product2,ProductSalesDataRecordStatisticalAnalysisTable-Product3,ProductSalesDataRecordStatisticalAnalysisTable-Product4,ProductSalesDataRecordStatisticalAnalysisTable-Product5,ProductSalesDataRecordStatisticalAnalysisTable-Product6,ProductSalesDataRecordStatisticalAnalysisTable-Product7,ProductSalesDataRecordStatisticalAnalysisTable-Product8,ProductSalesDataRecordStatisticalAnalysisTable-Product9
2021/11/1,,,666.0,777,,888,,555.0,,333.0,
,,,,310,354.0,9715,,,,,
,,,5190.0,3564,1674.0,3798,7440.0,1130.0,900.0,1500.0,
,,,,1160,3625.0,1113,7013.0,1716.0,1030.0,9102.0,3025.0
,,,4045.0,7326,4595.0,1680,5282.0,6881.0,2100.0,4972.0,9961.0
,,,666.0,777,,888,,555.0,,333.0,
,,,,310,354.0,9715,,,,,
,,,5190.0,3564,1674.0,3798,7440.0,1130.0,900.0,1500.0,
,,,,1160,3625.0,1113,7013.0,1716.0,1030.0,9102.0,3025.0
,,,4045.0,7326,4595.0,1680,5282.0,6881.0,2100.0,4972.0,9961.0
,,,666.0,777,,888,,555.0,,333.0,
,,,,310,354.0,9715,,,,,
,,,5190.0,3564,1674.0,3798,7440.0,1130.0,900.0,1500.0,
,,,,1160,3625.0,1113,7013.0,1716.0,1030.0,9102.0,3025.0
,,,4045.0,7326,4595.0,1680,5282.0,6881.0,2100.0,4972.0,9961.0
,,,666.0,777,,888,,555.0,,333.0,
,,,,310,354.0,9715,,,,,
,,,5190.0,3564,1674.0,3798,7440.0,1130.0,900.0,1500.0,
,,,,1160,3625.0,1113,7013.0,1716.0,1030.0,9102.0,3025.0
,,,4045.0,7326,4595.0,1680,5282.0,6881.0,2100.0,4972.0,9961.0
,,,666.0,777,,888,,555.0,,333.0,
,,,,310,354.0,9715,,,,,
,,,5190.0,3564,1674.0,3798,7440.0,1130.0,900.0,1500.0,
,,,,1160,3625.0,1113,7013.0,1716.0,1030.0,9102.0,3025.0
,,,4045.0,7326,4595.0,1680,5282.0,6881.0,2100.0,4972.0,9961.0
,,,666.0,777,,888,,555.0,,333.0,
,,,,310,354.0,9715,,,,,
,,,5190.0,3564,1674.0,3798,7440.0,1130.0,900.0,1500.0,
,,,,1160,3625.0,1113,7013.0,1716.0,1030.0,9102.0,3025.0
,,,4045.0,7326,4595.0,1680,5282.0,6881.0,2100.0,4972.0,9961.0
