SerialNumber-SerialNumber,EngineeringProjectName-EngineeringProjectName,Unit-Unit,QuantityofWork-QuantityofWork,UnitPrice-UnitPrice,UnitPriceComposition-MainMaterials,UnitPriceComposition-LaborCost,UnitPriceComposition-MaterialCost,TotalPrice-TotalPrice,Remark-Remark
I.,Ceiling Project,,,,,,,,
1、,"Ceiling Latex Paint for Living Room, Dining Room, and Passage",M2,0.0,16.0,4.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
2、,Aluminum Composite Panel for Secondary Toilet Ceiling,M2,0.0,80.0,60.0,15.0,5.0,0.0,"Light gauge steel keel, square aluminum panel, aluminum corner line"
3、,Kitchen ceiling aluminum panel,M2,0.0,80.0,60.0,15.0,5.0,0.0,"Light gauge steel keel, square aluminum panel, aluminum corner line"
4、,Ceiling Latex Paint for Garden Balcony,M2,0.0,16.0,4.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
5、,Ceiling Latex Paint for Living Room Balcony,M2,0.0,16.0,4.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
6、,Main bathroom ceiling aluminum panel,M2,0.0,80.0,60.0,15.0,5.0,0.0,"Light gauge steel keel, square aluminum panel, aluminum corner line"
7、,Ceiling Latex Paint for Master Bedroom,M2,0.0,16.0,4.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
8、,Ceiling Latex Paint for the Secondary Bedroom,M2,0.0,16.0,4.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
9、,Ceiling Latex Paint for Study Room,M2,0.0,16.0,4.0,10.0,2.0,0.0,"Environmentally friendly latex paint, Leshan GaoYu putty, cleaning the base layer, applying putty, leveling, sanding, hand-brushing one coat of primer, and two coats of finish paint."
