表8-8湖南省各地区0-30岁独生子女数-地区别-地区别,表8-8湖南省各地区0-30岁独生子女数-0-30岁人口数-合计,表8-8湖南省各地区0-30岁独生子女数-0-30岁人口数-男,表8-8湖南省各地区0-30岁独生子女数-0-30岁人口数-女,表8-8湖南省各地区0-30岁独生子女数-单位：人，%-0-30岁独生子女人数-合计,表8-8湖南省各地区0-30岁独生子女数-单位：人，%-0-30岁独生子女人数-男,表8-8湖南省各地区0-30岁独生子女数-单位：人，%-0-30岁独生子女人数-女,表8-8湖南省各地区0-30岁独生子女数,表8-8湖南省各地区0-30岁独生子女数.1,表8-8湖南省各地区0-30岁独生子女数.2
湖南省,253952,133017,120935,74005,43208,30797,,,
长沙市,24380,12149,12231,9278,5463,3815,,,
株洲市,13997,7149,6848,4989,2991,1998,,,
湘潭市,11335,5888,5447,4201,2529,1672,,,
衡阳市,28311,15274,13037,6645,3789,2856,,,
邵阳市,30800,16490,14310,6439,3868,2571,,,
岳阳市,19844,10488,9356,5913,3557,2356,,,
常德市,16195,8194,8001,9397,5008,4389,,,
张家界市,5786,2945,2841,1750,980,770,,,
益阳市,15088,7592,7496,4783,2919,1864,,,
郴州市,22099,11896,10203,4587,2716,1871,,,
永州市,20005,10794,9211,4544,2716,1828,,,
怀化市,18169,9556,8613,5385,3257,2128,,,
娄底市,15772,8323,7449,4121,2410,1711,,,
湘西土家族苗族自治州,12171,6279,5892,1973,1005,968,,,
