"13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-Item-Item-Item-Item-Item","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-Item-Item-Item-Item-Item.1","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-NumberofEnterprises(unit)-NumberofEnterprises(unit)-NumberofEnterprises(unit)-NumberofEnterprises(unit)-NumberofEnterprises(unit)","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-AnnualAverageEmployees(person)-AnnualAverageEmployees(person)-AnnualAverageEmployees(person)-AnnualAverageEmployees(person)-AnnualAverageEmployees(person)","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-TotalAssets-TotalAssets-TotalAssets-TotalAssets-TotalAssets","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-TotalWorkingCapitals-TotalWorkingCapitals-TotalWorkingCapitals-TotalWorkingCapitals-TotalWorkingCapitals","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-AccountsReceivable-AccountsReceivable-AccountsReceivable-AccountsReceivable-AccountsReceivable","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-TotalLiabilities-TotalLiabilities-TotalLiabilities-TotalLiabilities-TotalLiabilities","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-TotalProfitsandTaxes-TotalProfitsandTaxes-TotalProfitsandTaxes-TotalProfitsandTaxes-TotalProfitsandTaxes","13-3MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize(2021)-MainEconomicIndicatorsofIndustrialEnterprisesaboveDesignatedSize,2021-Unit:10,000yuan(10,000yuan)-#TotalPre-taxProfits-#TotalPre-taxProfits-#TotalPre-taxProfits-#TotalPre-taxProfits"
,,,,,,,,,
Total for the Whole City,Total,5662.0,968296.0,234973320.0,119055692.0,31885309.0,128296003.0,21949154.0,15032660.0
By Enterprise Scale,Grouped by Size of Enterprises,,,,,,,,
Large-sized,Large-sized,121.0,349006.0,107550103.0,42996365.0,9714167.0,56014304.0,14214935.0,9867671.0
Medium-sized,Medium-sized,460.0,238893.0,51454323.0,27812872.0,7352906.0,27279031.0,3434950.0,2230798.0
Small,Small-sized,4213.0,363643.0,70805198.0,45076456.0,13722099.0,41436421.0,4127614.0,2841490.0
Micro,Mini-sized,868.0,16754.0,5163696.0,3170000.0,1096137.0,3566247.0,171656.0,92701.0
By Registration and Registration Type,Grouped by Status of Registration,,,,,,,,
Domestic enterprises,Domestic-funded Enterprises,4529.0,624929.0,151423564.0,75882532.0,18485297.0,86576820.0,7486959.0,3579751.0
# State-owned,State-owned Enterprises,36.0,8744.0,3720497.0,2295278.0,290357.0,3535061.0,601145.0,156020.0
Collective,Collective-owned Enterprises,12.0,1045.0,57879.0,48073.0,8161.0,28207.0,3361.0,1602.0
Shareholding Cooperation,Cooperative Enterprises,19.0,2142.0,225699.0,150154.0,46036.0,117542.0,6993.0,2596.0
Private enterprises,Private Enterprises,3285.0,281794.0,45064786.0,28617969.0,8204079.0,27521307.0,2069984.0,1337435.0
Joint-stock Limited Company,Share-holding Corporations Ltd.,195.0,84295.0,30215248.0,12270913.0,2683757.0,11833377.0,3128018.0,1285819.0
Limited Liability Company,Limited Liability Corporations,982.0,246909.0,72139455.0,32500146.0,7252906.0,43541325.0,1677458.0,796279.0
State-owned Sole Proprietorship Company,Sole State-funded Corporations,90.0,63477.0,26816017.0,10317453.0,1520077.0,14234256.0,205964.0,-14192.0
"Hong Kong, Macao and Taiwan Merchant Investment Enterprises","Enterprises with Investment from Hong Kong,",,,,,,,,
,Macao and Taiwan,224.0,77197.0,28389196.0,9243666.0,3302405.0,16855200.0,7417475.0,6049205.0
Foreign-invested enterprises,Foreign Funded Enterprises,909.0,266170.0,55160560.0,33929495.0,10097607.0,24863983.0,7044720.0,5403704.0
By Subordinate Relationship,Grouped by Administrative Relationship,,,,,,,,
Central,Central Industry,81.0,86537.0,33121231.0,10509714.0,2327596.0,16291721.0,2399592.0,222512.0
Local,Local Industry,5581.0,881759.0,201852089.0,108545978.0,29557713.0,112004281.0,19549562.0,14810148.0
By Enterprise Control Status,Grouped by Company Holding Type,,,,,,,,
State-owned and State-controlled Enterprises,State-owned and State-holding Enterprises,490.0,203484.0,88282146.0,34787721.0,6258170.0,48548978.0,5073609.0,1862245.0
