9-5各地区按月租房费用分的家庭户户数-地区-地区,9-5各地区按月租房费用分的家庭户户数-单位：户-合计-合计,9-5各地区按月租房费用分的家庭户户数-单位：户-200元-以下,9-5各地区按月租房费用分的家庭户户数-单位：户-200--499元,9-5各地区按月租房费用分的家庭户户数-单位：户-500--999元,9-5各地区按月租房费用分的家庭户户数-单位：户-1000--1999元,9-5各地区按月租房费用分的家庭户户数-单位：户-2000--2999元,9-5各地区按月租房费用分的家庭户户数-单位：户-3000--3999元,9-5各地区按月租房费用分的家庭户户数-单位：户-4000--5999元,9-5各地区按月租房费用分的家庭户户数-单位：户-6000--7999元,9-5各地区按月租房费用分的家庭户户数-单位：户-8000--9999元,9-5各地区按月租房费用分的家庭户户数-单位：户-10000元-及以上
,,,,,,,,,,,
全    国,6680598.0,755791.0,1929470.0,1796716.0,1387591.0,408728.0,170166.0,132723.0,51840.0,20423.0,27150.0
,,,,,,,,,,,
北    京,273927.0,26118.0,23051.0,44053.0,52982.0,31927.0,28974.0,35522.0,18807.0,6198.0,6295.0
天    津,70423.0,13430.0,6023.0,13076.0,28792.0,6661.0,1472.0,696.0,134.0,49.0,90.0
河    北,137988.0,19407.0,30996.0,32761.0,48054.0,4476.0,809.0,565.0,224.0,212.0,484.0
山    西,109364.0,28316.0,32106.0,23555.0,19940.0,2987.0,870.0,603.0,351.0,222.0,414.0
内 蒙 古,105928.0,23169.0,27720.0,24600.0,24986.0,2732.0,621.0,597.0,442.0,336.0,725.0
,,,,,,,,,,,
辽    宁,119408.0,25556.0,24523.0,32912.0,29372.0,4855.0,993.0,562.0,279.0,111.0,245.0
吉    林,83860.0,15534.0,13155.0,28386.0,22598.0,2917.0,595.0,279.0,168.0,109.0,119.0
黑 龙 江,90582.0,20783.0,19140.0,27202.0,17019.0,2160.0,675.0,1087.0,1224.0,716.0,576.0
,,,,,,,,,,,
上    海,349306.0,24681.0,38752.0,66102.0,82013.0,46624.0,36289.0,34269.0,10031.0,4298.0,6247.0
江    苏,352558.0,26143.0,91375.0,86924.0,97878.0,35091.0,9107.0,3951.0,1029.0,382.0,678.0
浙    江,767106.0,51219.0,255147.0,258239.0,128756.0,40965.0,17627.0,10309.0,2380.0,816.0,1648.0
安    徽,177578.0,26861.0,41305.0,48957.0,49106.0,7561.0,1682.0,893.0,422.0,256.0,535.0
福    建,321158.0,25168.0,119283.0,87741.0,52876.0,23758.0,7818.0,3214.0,756.0,268.0,276.0
江    西,110109.0,24768.0,32875.0,30580.0,17427.0,2984.0,782.0,389.0,147.0,52.0,105.0
山    东,219172.0,19735.0,42189.0,60958.0,75608.0,14136.0,3012.0,1504.0,624.0,511.0,895.0
,,,,,,,,,,,
河    南,160711.0,26533.0,43062.0,32831.0,42244.0,11429.0,2474.0,1150.0,383.0,201.0,404.0
湖    北,162108.0,23088.0,40137.0,41228.0,38203.0,13924.0,3373.0,1353.0,411.0,142.0,249.0
湖    南,145131.0,28552.0,38398.0,36081.0,30701.0,7763.0,1773.0,1011.0,422.0,164.0,266.0
广    东,1555483.0,78742.0,561071.0,481226.0,268289.0,85955.0,36389.0,27090.0,10051.0,3399.0,3271.0
广    西,155092.0,24401.0,64530.0,40567.0,18806.0,4510.0,1228.0,584.0,186.0,81.0,199.0
海    南,48228.0,3167.0,7515.0,21305.0,11131.0,3437.0,1047.0,383.0,114.0,49.0,80.0
,,,,,,,,,,,
重    庆,140945.0,19821.0,41582.0,40787.0,30818.0,5541.0,1148.0,572.0,284.0,169.0,223.0
四    川,314046.0,45969.0,86445.0,81471.0,74358.0,16821.0,4530.0,2070.0,1086.0,559.0,737.0
贵    州,117828.0,19358.0,39900.0,30146.0,20258.0,4496.0,1356.0,983.0,455.0,297.0,579.0
云    南,196792.0,33084.0,84945.0,43341.0,24815.0,6311.0,1714.0,1124.0,536.0,258.0,664.0
西    藏,15932.0,7653.0,1386.0,3077.0,2177.0,849.0,415.0,199.0,76.0,24.0,76.0
,,,,,,,,,,,
陕    西,171034.0,25172.0,61035.0,32242.0,38300.0,10841.0,1786.0,820.0,288.0,178.0,372.0
甘    肃,67622.0,11626.0,25684.0,12749.0,13671.0,2540.0,556.0,291.0,180.0,82.0,243.0
青    海,20089.0,4973.0,5401.0,3994.0,4636.0,699.0,172.0,94.0,48.0,17.0,55.0
宁    夏,30522.0,8731.0,8171.0,8210.0,4525.0,456.0,134.0,164.0,52.0,40.0,39.0
新    疆,90568.0,24033.0,22568.0,21415.0,17252.0,3322.0,745.0,395.0,250.0,227.0,361.0
