Date,Recruitment Post,Publishing Channel,Communicated People,Recruited Number of People,Failed Count,Failure Reason Summary,Post Time,Poster
2013/1/8,Recruit Taoke: You can earn money here~~ 20% high commission + 9% high conversion rate + stable market conditions,D-ke Community,12,2,,,2012/11/1,
2013/1/9,Taoke Recruitment in Progress.. Easy to Promote + High Conversion Rate + High Commission + High Rewards = Wealth Opportunity!,Taoke Forum Community,20,4,,,2012/11/2,
2013/1/10,Average commission as high as 40% + 3 yuan reward for promoting one item! One order with 3 items counts as 3 items.,Taoke Tao,15,2,,,2012/12/3,
2013/1/11,Shop sincerely recruiting Taokè (20%) high commission ~! + (additional rewards) + Tmall subsidy,Taoke Network,17,1,,,2012/12/4,
2013/1/12,"44% high commission + extra high additional reward + traffic reward + guaranteed salary, earning 20,000 RMB per month is not a dream!",HiPush,26,5,,,2012/11/5,
2013/1/13,We sincerely invite all Taokè partners to join!,Taobao Union Community,18,6,,,2012/11/6,
2013/1/14,"Recruit high-quality Taobao partners or website owners, DangDang pays, and we pay too!",Taoke Forum Community,11,2,,,2012/12/7,
2013/1/15,"90% ultra-high commission waiting for you to claim, promote early to earn early, sincerely recruiting Taobao partners",HiPush,21,1,,,2012/11/8,
2013/1/16,"Mass hard ad placements outside Taobao site, high conversion rate, 40% commission, sincerely recruiting Taokè!",Taoke Tao,25,2,,,2012/12/9,
2013/1/17,"Taoke Recruitment Targeted Plan 16.20% average commission rate, single transaction highest 21%",Taoke Network,19,3,,,2012/11/10,
2013/1/18,Christmas grand arrival 43% high commission + rewards + fixed salary ...2,D-ke Community,31,4,,,2012/11/11,
