表8-7湖南省分年龄、性别的独生子女数-年龄,表8-7湖南省分年龄、性别的独生子女数-0-30岁独生子女人数,表8-7湖南省分年龄、性别的独生子女数-男,表8-7湖南省分年龄、性别的独生子女数-单位：人，%-女,表8-7湖南省分年龄、性别的独生子女数-单位：人，%-性别比
总计,74005,43208,30797,140
0-4,19813,10640,9173,116
0,4442,2296,2146,107
1,3905,2070,1835,113
2,3764,2027,1737,117
3,3794,2099,1695,124
4,3908,2148,1760,122
5-9,16652,10136,6516,156
5,3627,2066,1561,132
6,3495,2044,1451,141
7,3445,2133,1312,163
8,3109,1994,1115,179
9,2976,1899,1077,176
10-14,14584,9598,4986,193
10,3237,2094,1143,183
11,2640,1673,967,173
12,2898,1881,1017,185
13,2786,1875,911,206
14,3023,2075,948,219
15-19,10187,6651,3536,188
15,3380,2288,1092,210
16,2510,1666,844,197
17,1898,1198,700,171
18,1431,897,534,168
19,968,602,366,164
20-24,5085,2598,2487,104
20,807,445,362,123
21,792,431,361,119
22,1002,514,488,105
23,1361,642,719,89
24,1123,566,557,102
25-29,5520,2600,2920,89
25,1026,484,542,89
26,1093,526,567,93
27,1083,500,583,86
28,1037,489,548,89
29,1281,601,680,88
30,2164,985,1179,84
30,2164,985,1179,84
